nhs_name,date,sgtfv
East of England,2020-12-20,0.992852453318483
East of England,2020-12-21,0.993567564145416
East of England,2020-12-22,0.994211540228449
East of England,2020-12-23,0.994791377878988
East of England,2020-12-24,0.995313400630586
East of England,2020-12-25,0.995783320984564
East of England,2020-12-26,0.996206297062771
East of England,2020-12-27,0.996586984472142
East of England,2020-12-28,0.996929583692893
East of England,2020-12-29,0.997237883301928
East of England,2020-12-30,0.997515299337266
East of England,2020-12-31,0.997764911099434
East of England,2021-01-01,0.997989493673198
East of England,2021-01-02,0.998191547438485
East of England,2021-01-03,0.998373324823749
East of England,2021-01-04,0.998536854538893
London,2020-08-01,3.37359406327474e-05
London,2020-08-02,3.75017018437943e-05
London,2020-08-03,4.16878895933901e-05
London,2020-08-04,4.63414483261609e-05
London,2020-08-05,5.15145644182507e-05
London,2020-08-06,5.72652513975151e-05
London,2020-08-07,6.36580004577251e-05
London,2020-08-08,7.076450354025e-05
London,2020-08-09,7.86644570640069e-05
London,2020-08-10,8.74464552806899e-05
London,2020-08-11,9.72089832270341e-05
London,2020-08-12,0.000108061520349749
London,2020-08-13,0.00012012576710349
London,2020-08-14,0.000133537008180733
London,2020-08-15,0.000148445627538857
London,2020-08-16,0.000165018792059825
London,2020-08-17,0.000183442322528586
London,2020-08-18,0.000203922772666696
London,2020-08-19,0.000226689739228058
London,2020-08-20,0.000251998428676689
London,2020-08-21,0.00028013250874648
London,2020-08-22,0.000311407276256593
London,2020-08-23,0.000346173175952201
London,2020-08-24,0.000384819708889919
London,2020-08-25,0.000427779773023653
London,2020-08-26,0.000475534483205637
London,2020-08-27,0.000528618522836785
London,2020-08-28,0.000587626084920364
London,2020-08-29,0.000653217466334892
London,2020-08-30,0.000726126385789463
London,2020-08-31,0.00080716810320113
London,2020-09-01,0.000897248426183516
London,2020-09-02,0.000997373698001059
London,2020-09-03,0.00110866187076434
London,2020-09-04,0.00123235477785393
London,2020-09-05,0.00136983173059126
London,2020-09-06,0.00152262457604284
London,2020-09-07,0.00169243436555093
London,2020-09-08,0.00188114979711301
London,2020-09-09,0.00209086760903906
London,2020-09-10,0.00232391511732192
London,2020-09-11,0.0025828751047357
London,2020-09-12,0.00287061328565003
London,2020-09-13,0.00319030858665561
London,2020-09-14,0.00354548649899206
London,2020-09-15,0.00394005577398706
London,2020-09-16,0.00437834874664905
London,2020-09-17,0.00486516558442033
London,2020-09-18,0.0054058227668929
London,2020-09-19,0.00600620610675529
London,2020-09-20,0.00667282862079587
London,2020-09-21,0.00741289355048378
London,2020-09-22,0.00823436281207864
London,2020-09-23,0.00914603112345704
London,2020-09-24,0.0101576060053493
London,2020-09-25,0.0112797937842142
London,2020-09-26,0.0125243916275157
London,2020-09-27,0.0139043855138014
London,2020-09-28,0.0154340538728687
London,2020-09-29,0.0171290764176165
London,2020-09-30,0.0190066474201034
London,2020-10-01,0.0210855923501646
London,2020-10-02,0.02338648638525
London,2020-10-03,0.0259317728041398
London,2020-10-04,0.0287458786842188
London,2020-10-05,0.0318553246223558
London,2020-10-06,0.0352888243855704
London,2020-10-07,0.0390773694656532
London,2020-10-08,0.0432542924636009
London,2020-10-09,0.0478553020753607
London,2020-10-10,0.0529184812118959
London,2020-10-11,0.0584842385014295
London,2020-10-12,0.0645952021473197
London,2020-10-13,0.0712960439333111
London,2020-10-14,0.0786332201898888
London,2020-10-15,0.0866546159047098
London,2020-10-16,0.0954090780545528
London,2020-10-17,0.104945824866702
London,2020-10-18,0.115313719321595
London,2020-10-19,0.126560398036979
London,2020-10-20,0.138731250970082
London,2020-10-21,0.151868253342736
London,2020-10-22,0.166008658958881
London,2020-10-23,0.181183573637367
London,2020-10-24,0.19741643863216
London,2020-10-25,0.214721466223671
London,2020-10-26,0.233102082424585
London,2020-10-27,0.252549443940487
London,2020-10-28,0.273041106877299
London,2020-10-29,0.294539931718675
London,2020-10-30,0.316993311278685
London,2020-10-31,0.340332804284736
London,2020-11-01,0.364474245963748
London,2020-11-02,0.389318388123952
London,2020-11-03,0.414752095219913
London,2020-11-04,0.440650091192643
London,2020-11-05,0.466877216861534
London,2020-11-06,0.493291122431332
London,2020-11-07,0.519745287786734
London,2020-11-08,0.546092238131436
London,2020-11-09,0.572186807060479
London,2020-11-10,0.597889295173772
London,2020-11-11,0.6230683803464
London,2020-11-12,0.64760365484355
London,2020-11-13,0.67138769240377
London,2020-11-14,0.694327582089448
London,2020-11-15,0.716345901554328
London,2020-11-16,0.737381136916571
London,2020-11-17,0.757387586691285
London,2020-11-18,0.776334811108244
London,2020-11-19,0.794206704481798
London,2020-11-20,0.811000276933213
London,2020-11-21,0.826724233316991
London,2020-11-22,0.841397432866908
London,2020-11-23,0.855047304359647
London,2020-11-24,0.867708280070667
London,2020-11-25,0.879420298930277
London,2020-11-26,0.890227416301357
London,2020-11-27,0.900176545618523
London,2020-11-28,0.909316346369447
London,2020-11-29,0.917696263901319
London,2020-11-30,0.925365719409647
London,2020-12-01,0.932373443152968
London,2020-12-02,0.938766940262889
London,2020-12-03,0.944592076247983
London,2020-12-04,0.949892768161391
London,2020-12-05,0.954710767158561
London,2020-12-06,0.959085518577992
London,2020-12-07,0.963054086530776
London,2020-12-08,0.96665113111685
London,2020-12-09,0.969908927665001
London,2020-12-10,0.972857418720641
London,2020-12-11,0.975524290808612
London,2020-12-12,0.977935069229955
London,2020-12-13,0.980113225281762
London,2020-12-14,0.982080291302452
London,2020-12-15,0.983855979835531
London,2020-12-16,0.985458303975014
London,2020-12-17,0.986903696611593
London,2020-12-18,0.988207126849831
London,2020-12-19,0.989382212323743
London,2020-12-20,0.990441326512609
London,2020-12-21,0.99139570046162
London,2020-12-22,0.992255518553515
London,2020-12-23,0.993030008167315
London,2020-12-24,0.993727523207037
London,2020-12-25,0.994355621594493
London,2020-12-26,0.9949211369024
London,2020-12-27,0.995430244362617
London,2020-12-28,0.995888521524065
London,2020-12-29,0.996301003859753
London,2020-12-30,0.996672235635521
London,2020-12-31,0.997006316357377
London,2021-01-01,0.997306943111749
London,2021-01-02,0.997577449105455
London,2021-01-03,0.997820838701043
London,2021-01-04,0.998039819229548
Midlands,2020-08-01,1.77534108317448e-05
Midlands,2020-08-02,1.97338137286973e-05
Midlands,2020-08-03,2.19351794527405e-05
Midlands,2020-08-04,2.4382166572919e-05
Midlands,2020-08-05,2.71021858344213e-05
Midlands,2020-08-06,3.01257073400369e-05
Midlands,2020-08-07,3.34866020099805e-05
Midlands,2020-08-08,3.72225211424458e-05
Midlands,2020-08-09,4.13753183227186e-05
Midlands,2020-08-10,4.59915184013119e-05
Midlands,2020-08-11,5.11228387865676e-05
Midlands,2020-08-12,5.68267688802365e-05
Midlands,2020-08-13,6.31672141320647e-05
Midlands,2020-08-14,7.02152119084022e-05
Midlands,2020-08-15,7.80497271681002e-05
Midlands,2020-08-16,8.67585368250669e-05
Midlands,2020-08-17,9.64392126603182e-05
Midlands,2020-08-18,0.000107200213737672
Midlands,2020-08-19,0.000119162100487953
Midlands,2020-08-20,0.000132458883969478
Midlands,2020-08-21,0.000147239525301635
Midlands,2020-08-22,0.000163669601919095
Midlands,2020-08-23,0.000181933159123383
Midlands,2020-08-24,0.000202234767434907
Midlands,2020-08-25,0.000224801808492243
Midlands,2020-08-26,0.000249887014728797
Midlands,2020-08-27,0.000277771290804026
Midlands,2020-08-28,0.000308766847803326
Midlands,2020-08-29,0.000343220684576117
Midlands,2020-08-30,0.000381518454285937
Midlands,2020-08-31,0.000424088758332698
Midlands,2020-09-01,0.000471407914310582
Midlands,2020-09-02,0.000524005249622944
Midlands,2020-09-03,0.000582468977827281
Midlands,2020-09-04,0.000647452720770044
Midlands,2020-09-05,0.000719682746135315
Midlands,2020-09-06,0.00079996599721638
Midlands,2020-09-07,0.000889198999568182
Midlands,2020-09-08,0.000988377737753611
Midlands,2020-09-09,0.00109860860469681
Midlands,2020-09-10,0.00122112053623691
Midlands,2020-09-11,0.00135727845436343
Midlands,2020-09-12,0.00150859815432691
Midlands,2020-09-13,0.00167676278335795
Midlands,2020-09-14,0.00186364107207756
Midlands,2020-09-15,0.0020713074937974
Midlands,2020-09-16,0.00230206454171313
Midlands,2020-09-17,0.00255846732936381
Midlands,2020-09-18,0.00284335073548614
Midlands,2020-09-19,0.00315985933028172
Midlands,2020-09-20,0.00351148033579537
Midlands,2020-09-21,0.00390207988811584
Midlands,2020-09-22,0.00433594288285984
Midlands,2020-09-23,0.00481781669711565
Midlands,2020-09-24,0.00535295908972114
Midlands,2020-09-25,0.00594719058619488
Midlands,2020-09-26,0.00660695165328008
Midlands,2020-09-27,0.00733936495898259
Midlands,2020-09-28,0.0081523029948316
Midlands,2020-09-29,0.00905446130499767
Midlands,2020-09-30,0.0100554375184039
Midlands,2020-10-01,0.0111658163109184
Midlands,2020-10-02,0.0123972603302052
Midlands,2020-10-03,0.0137626069900782
Midlands,2020-10-04,0.0152759708775656
Midlands,2020-10-05,0.016952851306731
Midlands,2020-10-06,0.0188102442900332
Midlands,2020-10-07,0.0208667578712089
Midlands,2020-10-08,0.0231427293632244
Midlands,2020-10-09,0.0256603425502849
Midlands,2020-10-10,0.0284437423339493
Midlands,2020-10-11,0.03151914362072
Midlands,2020-10-12,0.034914930454816
Midlands,2020-10-13,0.0386617404915135
Midlands,2020-10-14,0.0427925288853632
Midlands,2020-10-15,0.0473426045438157
Midlands,2020-10-16,0.052349630491612
Midlands,2020-10-17,0.0578535788409964
Midlands,2020-10-18,0.0638966296227741
Midlands,2020-10-19,0.0705230015823472
Midlands,2020-10-20,0.0777787020897073
Midlands,2020-10-21,0.0857111826905468
Midlands,2020-10-22,0.0943688867073754
Midlands,2020-10-23,0.103800675886137
Midlands,2020-10-24,0.114055124601762
Midlands,2020-10-25,0.125179672824759
Midlands,2020-10-26,0.137219633142421
Midlands,2020-10-27,0.150217052818334
Midlands,2020-10-28,0.164209439282939
Midlands,2020-10-29,0.17922836657463
Midlands,2020-10-30,0.19529799091976
Midlands,2020-10-31,0.21243351545222
Midlands,2020-11-01,0.230639656367271
Midlands,2020-11-02,0.249909174640364
Midlands,2020-11-03,0.270221547622527
Midlands,2020-11-04,0.291541861964525
Midlands,2020-11-05,0.313820011974661
Midlands,2020-11-06,0.336990284349049
Midlands,2020-11-07,0.360971400233292
Midlands,2020-11-08,0.385667068351951
Midlands,2020-11-09,0.410967078814538
Midlands,2020-11-10,0.436748937400496
Midlands,2020-11-11,0.46288000675679
Midlands,2020-11-12,0.489220086865953
Midlands,2020-11-13,0.515624335653792
Midlands,2020-11-14,0.54194640501723
Midlands,2020-11-15,0.568041650723277
Midlands,2020-11-16,0.593770268526011
Midlands,2020-11-17,0.619000214224984
Midlands,2020-11-18,0.643609781659904
Midlands,2020-11-19,0.667489737964753
Midlands,2020-11-20,0.690544946987912
Midlands,2020-11-21,0.712695446287096
Midlands,2020-11-22,0.733876977142104
Midlands,2020-11-23,0.754040997603232
Midlands,2020-11-24,0.773154233448818
Midlands,2020-11-25,0.791197839714048
Midlands,2020-11-26,0.808166255760499
Midlands,2020-11-27,0.824065840085891
Midlands,2020-11-28,0.838913368243547
Midlands,2020-11-29,0.852734469738778
Midlands,2020-11-30,0.865562069115872
Midlands,2020-12-01,0.877434884104765
Midlands,2020-12-02,0.88839602092143
Midlands,2020-12-03,0.898491694596333
Midlands,2020-12-04,0.90777009122833
Midlands,2020-12-05,0.916280379733739
Midlands,2020-12-06,0.924071873151222
Midlands,2020-12-07,0.931193333858425
Midlands,2020-12-08,0.937692413015752
Midlands,2020-12-09,0.943615211959555
Midlands,2020-12-10,0.949005951870277
Midlands,2020-12-11,0.953906737585562
Midlands,2020-12-12,0.95835740167564
Midlands,2020-12-13,0.962395415638843
Midlands,2020-12-14,0.966055856133954
Midlands,2020-12-15,0.969371415403315
Midlands,2020-12-16,0.972372446349423
Midlands,2020-12-17,0.975087034030332
Midlands,2020-12-18,0.977541086581965
Midlands,2020-12-19,0.979758439724433
Midlands,2020-12-20,0.981760970045595
Midlands,2020-12-21,0.983568713170611
Midlands,2020-12-22,0.985199983721081
Midlands,2020-12-23,0.986671494646959
Midlands,2020-12-24,0.987998474087409
Midlands,2020-12-25,0.989194778393546
Midlands,2020-12-26,0.990273000337681
Midlands,2020-12-27,0.991244571851478
Midlands,2020-12-28,0.992119860889711
Midlands,2020-12-29,0.992908262216989
Midlands,2020-12-30,0.993618282070528
Midlands,2020-12-31,0.99425761677064
Midlands,2021-01-01,0.994833225438654
Midlands,2021-01-02,0.995351397045444
Midlands,2021-01-03,0.995817812057252
Midlands,2021-01-04,0.996237598973412
North East and Yorkshire,2020-08-01,6.8943713388753e-06
North East and Yorkshire,2020-08-02,7.66363650172915e-06
North East and Yorkshire,2020-08-03,8.51875415484172e-06
North East and Yorkshire,2020-08-04,9.46930773244385e-06
North East and Yorkshire,2020-08-05,1.05259506401238e-05
North East and Yorkshire,2020-08-06,1.17005257326213e-05
North East and Yorkshire,2020-08-07,1.30061981337998e-05
North East and Yorkshire,2020-08-08,1.44576028885249e-05
North East and Yorkshire,2020-08-09,1.60710091024243e-05
North East and Yorkshire,2020-08-10,1.78645024102767e-05
North East and Yorkshire,2020-08-11,1.98581878191318e-05
North East and Yorkshire,2020-08-12,2.20744152004934e-05
North East and Yorkshire,2020-08-13,2.45380299595231e-05
North East and Yorkshire,2020-08-14,2.7276651691078e-05
North East and Yorkshire,2020-08-15,3.03209839455896e-05
North East and Yorkshire,2020-08-16,3.37051585757985e-05
North East and Yorkshire,2020-08-17,3.74671185220217e-05
North East and Yorkshire,2020-08-18,4.16490433232109e-05
North East and Yorkshire,2020-08-19,4.62978221182846e-05
North East and Yorkshire,2020-08-20,5.14655794323256e-05
North East and Yorkshire,2020-08-21,5.72102596310265e-05
North East and Yorkshire,2020-08-22,6.35962765806695e-05
North East and Yorkshire,2020-08-23,7.06952357770437e-05
North East and Yorkshire,2020-08-24,7.85867370129139e-05
North East and Yorkshire,2020-08-25,8.73592665486408e-05
North East and Yorkshire,2020-08-26,9.71111887439341e-05
North East and Yorkshire,2020-08-27,0.000107951848211094
North East and Yorkshire,2020-08-28,0.000120002794773174
North East and Yorkshire,2020-08-29,0.000133399144867159
North East and Yorkshire,2020-08-30,0.000148291094536714
North East and Yorkshire,2020-08-31,0.000164845600826891
North East and Yorkshire,2020-09-01,0.000183248250241566
North East and Yorkshire,2020-09-02,0.000203705334972063
North East and Yorkshire,2020-09-03,0.000226446159872975
North East and Yorkshire,2020-09-04,0.000251725605671086
North East and Yorkshire,2020-09-05,0.000279826976669953
North East and Yorkshire,2020-09-06,0.00031106516428273
North East and Yorkshire,2020-09-07,0.000345790161118
North East and Yorkshire,2020-09-08,0.000384390964088762
North East and Yorkshire,2020-09-09,0.00042729990914673
North East and Yorkshire,2020-09-10,0.000474997484798374
North East and Yorkshire,2020-09-11,0.000528017676573712
North East and Yorkshire,2020-09-12,0.000586953900133578
North East and Yorkshire,2020-09-13,0.00065246558675801
North East and Yorkshire,2020-09-14,0.000725285491600543
North East and Yorkshire,2020-09-15,0.000806227802364758
North East and Yorkshire,2020-09-16,0.000896197134004438
North East and Yorkshire,2020-09-17,0.000996198503710036
North East and Yorkshire,2020-09-18,0.00110734838986217
North East and Yorkshire,2020-09-19,0.00123088698884323
North East and Yorkshire,2020-09-20,0.00136819179462971
North East and Yorkshire,2020-09-21,0.00152079263795791
North East and Yorkshire,2020-09-22,0.00169038833456951
North East and Yorkshire,2020-09-23,0.00187886510558234
North East and Yorkshire,2020-09-24,0.00208831694735552
North East and Yorkshire,2020-09-25,0.00232106814324706
North East and Yorkshire,2020-09-26,0.00257969812527559
North East and Yorkshire,2020-09-27,0.00286706890971394
North East and Yorkshire,2020-09-28,0.00318635534680996
North East and Yorkshire,2020-09-29,0.00354107844080166
North East and Yorkshire,2020-09-30,0.00393514201171113
North East and Yorkshire,2020-10-01,0.0043728729844611
North East and Yorkshire,2020-10-02,0.00485906560288155
North East and Yorkshire,2020-10-03,0.00539902987516829
North East and Yorkshire,2020-10-04,0.00599864456206741
North East and Yorkshire,2020-10-05,0.00666441501792061
North East and Yorkshire,2020-10-06,0.00740353618577103
North East and Yorkshire,2020-10-07,0.00822396102860739
North East and Yorkshire,2020-10-08,0.00913447464659811
North East and Yorkshire,2020-10-09,0.0101447742813111
North East and Yorkshire,2020-10-10,0.0112655553382018
North East and Yorkshire,2020-10-11,0.0125086034630647
North East and Yorkshire,2020-10-12,0.0138868925807845
North East and Yorkshire,2020-10-13,0.0154146886387519
North East and Yorkshire,2020-10-14,0.0171076585848851
North East and Yorkshire,2020-10-15,0.0189829838424973
North East and Yorkshire,2020-10-16,0.0210594772115244
North East and Yorkshire,2020-10-17,0.0233577017173983
North East and Yorkshire,2020-10-18,0.0259000894342119
North East and Yorkshire,2020-10-19,0.0287110577170018
North East and Yorkshire,2020-10-20,0.0318171195790802
North East and Yorkshire,2020-10-21,0.035246984136553
North East and Yorkshire,2020-10-22,0.0390316421092204
North East and Yorkshire,2020-10-23,0.0432044303163915
North East and Yorkshire,2020-10-24,0.0478010679474931
North East and Yorkshire,2020-10-25,0.052859656142042
North East and Yorkshire,2020-10-26,0.0584206311183846
North East and Yorkshire,2020-10-27,0.0645266598023083
North East and Yorkshire,2020-10-28,0.0712224657065404
North East and Yorkshire,2020-10-29,0.0785545718107979
North East and Yorkshire,2020-10-30,0.086570946532924
North East and Yorkshire,2020-10-31,0.0953205387431183
North East and Yorkshire,2020-11-01,0.104852688367415
North East and Yorkshire,2020-11-02,0.115216400693166
North East and Yorkshire,2020-11-03,0.126459475283166
North East and Yorkshire,2020-11-04,0.138627484674832
North East and Yorkshire,2020-11-05,0.15176260399779
North East and Yorkshire,2020-11-06,0.165902300419261
North East and Yorkshire,2020-11-07,0.181077900923605
North East and Yorkshire,2020-11-08,0.197313068164885
North East and Yorkshire,2020-11-09,0.214622226571762
North East and Yorkshire,2020-11-10,0.233008993819007
North East and Yorkshire,2020-11-11,0.252464685192328
North East and Yorkshire,2020-11-12,0.272966968965383
North East and Yorkshire,2020-11-13,0.294478758179066
North East and Yorkshire,2020-11-14,0.316947426600364
North East and Yorkshire,2020-11-15,0.340304432717476
North East and Yorkshire,2020-11-16,0.364465424360167
North East and Yorkshire,2020-11-17,0.389330877521023
North East and Yorkshire,2020-11-18,0.414787296654357
North East and Yorkshire,2020-11-19,0.440708971589651
North East and Yorkshire,2020-11-20,0.466960250626374
North East and Yorkshire,2020-11-21,0.493398253564547
North East and Yorkshire,2020-11-22,0.519875915975536
North East and Yorkshire,2020-11-23,0.546245230469334
North East and Yorkshire,2020-11-24,0.572360535013521
North East and Yorkshire,2020-11-25,0.598081694387139
North East and Yorkshire,2020-11-26,0.623277029113841
North East and Yorkshire,2020-11-27,0.647825865750343
North East and Yorkshire,2020-11-28,0.671620610935196
North East and Yorkshire,2020-11-29,0.694568285915101
North East and Yorkshire,2020-11-30,0.716591494707303
North East and Yorkshire,2020-12-01,0.737628834065631
North East and Yorkshire,2020-12-02,0.757634783987271
North East and Yorkshire,2020-12-03,0.776579141492926
North East and Yorkshire,2020-12-04,0.794446076712374
North East and Yorkshire,2020-12-05,0.811232898768688
North East and Yorkshire,2020-12-06,0.826948620249898
North East and Yorkshire,2020-12-07,0.841612404429071
North East and Yorkshire,2020-12-08,0.855251970388277
North East and Yorkshire,2020-12-09,0.867902019425523
North East and Yorkshire,2020-12-10,0.879602733056123
North East and Yorkshire,2020-12-11,0.890398379791025
North East and Yorkshire,2020-12-12,0.900336055607252
North East and Yorkshire,2020-12-13,0.909464572229284
North East and Yorkshire,2020-12-14,0.917833498343274
North East and Yorkshire,2020-12-15,0.925492351767398
North East and Yorkshire,2020-12-16,0.93248993533139
North East and Yorkshire,2020-12-17,0.938873805595107
North East and Yorkshire,2020-12-18,0.944689861316972
North East and Yorkshire,2020-12-19,0.949982037503219
North East and Yorkshire,2020-12-20,0.954792090668159
North East and Yorkshire,2020-12-21,0.959159461377826
North East and Yorkshire,2020-12-22,0.963121201030671
North East and Yorkshire,2020-12-23,0.966711950982614
North East and Yorkshire,2020-12-24,0.969963963418491
North East and Yorkshire,2020-12-25,0.972907154709359
North East and Yorkshire,2020-12-26,0.975569183304968
North East and Yorkshire,2020-12-27,0.977975545445745
North East and Yorkshire,2020-12-28,0.980149683110045
North East and Yorkshire,2020-12-29,0.982113099625223
North East and Yorkshire,2020-12-30,0.98388547926033
North East and Yorkshire,2020-12-31,0.985484807886298
North East and Yorkshire,2021-01-01,0.986927492442986
North East and Yorkshire,2021-01-02,0.988228477501113
North East and Yorkshire,2021-01-03,0.989401357661795
North East and Yorkshire,2021-01-04,0.990458484908547
North West,2020-08-01,1.45739584823804e-05
North West,2020-08-02,1.61998120920832e-05
North West,2020-08-03,1.800708297794e-05
North West,2020-08-04,2.0016018109864e-05
