LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E07000075,Rochford,E10000012,Essex,"Essex, Thurrock and Southend on Sea",E12000006,East of England,E92000001,England,4
E07000076,Tendring,E10000012,Essex,"Essex, Thurrock and Southend on Sea",E12000006,East of England,E92000001,England,2
E07000077,Uttlesford,E10000012,Essex,"Essex, Thurrock and Southend on Sea",E12000006,East of England,E92000001,England,2
E07000078,Cheltenham,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000079,Cotswold,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000080,Forest of Dean,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000081,Gloucester,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000082,Stroud,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000083,Tewkesbury,E10000013,Gloucestershire,Gloucestershire,E12000009,South West,E92000001,England,2
E07000084,Basingstoke and Deane,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000085,East Hampshire,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000086,Eastleigh,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000087,Fareham,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000088,Gosport,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,4
E07000089,Hart,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000090,Havant,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,4
E07000091,New Forest,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000092,Rushmoor,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000093,Test Valley,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000094,Winchester,E10000014,Hampshire,"Hampshire (except the Isle of Wight), Portsmouth and Southampton",E12000008,South East,E92000001,England,2
E07000095,Broxbourne,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000096,Dacorum,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000098,Hertsmere,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000099,North Hertfordshire,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000102,Three Rivers,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000103,Watford,E10000015,Hertfordshire,Hertfordshire,E12000006,East of England,E92000001,England,4
E07000105,Ashford,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000106,Canterbury,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000107,Dartford,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000108,Dover,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000109,Gravesham,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000110,Maidstone,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000111,Sevenoaks,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000112,Folkestone and Hythe,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000113,Swale,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000114,Thanet,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000115,Tonbridge and Malling,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000116,Tunbridge Wells,E10000016,Kent,Kent and Medway,E12000008,South East,E92000001,England,3
E07000117,Burnley,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000118,Chorley,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000119,Fylde,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000120,Hyndburn,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000121,Lancaster,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000122,Pendle,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000123,Preston,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000124,Ribble Valley,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000125,Rossendale,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000126,South Ribble,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000127,West Lancashire,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000128,Wyre,E10000017,Lancashire,Lancashire,E12000002,North West,E92000001,England,3
E07000129,Blaby,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000130,Charnwood,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000131,Harborough,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000132,Hinckley and Bosworth,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
E07000133,Melton,E10000018,Leicestershire,Leicester and Leicestershire,E12000004,East Midlands,E92000001,England,3
