LAD20CD,LAD20NM,CTYUA20CD,CTYUA20NM,GOV_NM,RGN19CD,RGN19NM,CTRY19CD,CTRY19NM,Tier
E09000014,Haringey,E09000014,Haringey,Haringey,E12000007,London,E92000001,England,4
E09000015,Harrow,E09000015,Harrow,Harrow,E12000007,London,E92000001,England,4
E09000016,Havering,E09000016,Havering,Havering,E12000007,London,E92000001,England,4
E09000017,Hillingdon,E09000017,Hillingdon,Hillingdon,E12000007,London,E92000001,England,4
E09000018,Hounslow,E09000018,Hounslow,Hounslow,E12000007,London,E92000001,England,4
E09000019,Islington,E09000019,Islington,Islington,E12000007,London,E92000001,England,4
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,Kensington and Chelsea,E12000007,London,E92000001,England,4
E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,Kingston upon Thames,E12000007,London,E92000001,England,4
E09000022,Lambeth,E09000022,Lambeth,Lambeth,E12000007,London,E92000001,England,4
E09000023,Lewisham,E09000023,Lewisham,Lewisham,E12000007,London,E92000001,England,4
E09000024,Merton,E09000024,Merton,Merton,E12000007,London,E92000001,England,4
E09000025,Newham,E09000025,Newham,Newham,E12000007,London,E92000001,England,4
E09000026,Redbridge,E09000026,Redbridge,Redbridge,E12000007,London,E92000001,England,4
E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,Richmond upon Thames,E12000007,London,E92000001,England,4
E09000028,Southwark,E09000028,Southwark,Southwark,E12000007,London,E92000001,England,4
E09000029,Sutton,E09000029,Sutton,Sutton,E12000007,London,E92000001,England,4
E09000030,Tower Hamlets,E09000030,Tower Hamlets,Tower Hamlets,E12000007,London,E92000001,England,4
E09000031,Waltham Forest,E09000031,Waltham Forest,Waltham Forest,E12000007,London,E92000001,England,4
E09000032,Wandsworth,E09000032,Wandsworth,Wandsworth,E12000007,London,E92000001,England,4
E09000033,Westminster,E09000033,Westminster,Westminster,E12000007,London,E92000001,England,4
