date,nhs_name,sgtf,other
2020-10-26,Midlands,37,2707
2020-10-26,North East and Yorkshire,95,4440
2020-10-26,North West,61,4657
2020-10-26,South East,116,1138
2020-10-26,South West,21,311
2020-10-27,East of England,18,548
2020-10-27,London,111,1681
2020-10-27,Midlands,49,3117
2020-10-27,North East and Yorkshire,74,4146
2020-10-27,North West,37,4135
2020-10-27,South East,116,957
2020-10-27,South West,39,489
2020-10-28,East of England,19,574
2020-10-28,London,91,1599
2020-10-28,Midlands,44,2743
2020-10-28,North East and Yorkshire,84,3957
2020-10-28,North West,40,3257
2020-10-28,South East,122,880
2020-10-28,South West,16,222
2020-10-29,East of England,15,414
2020-10-29,London,53,949
2020-10-29,Midlands,53,2113
2020-10-29,North East and Yorkshire,62,3808
2020-10-29,North West,37,3660
2020-10-29,South East,53,458
2020-10-29,South West,14,176
2020-10-30,East of England,21,539
2020-10-30,London,65,1359
2020-10-30,Midlands,39,2575
2020-10-30,North East and Yorkshire,79,3969
2020-10-30,North West,35,3520
2020-10-30,South East,95,826
2020-10-30,South West,9,217
2020-10-31,East of England,21,468
2020-10-31,London,98,1255
2020-10-31,Midlands,31,2271
2020-10-31,North East and Yorkshire,78,3101
2020-10-31,North West,43,2658
2020-10-31,South East,78,751
2020-10-31,South West,3,94
2020-11-01,East of England,12,380
2020-11-01,London,64,873
2020-11-01,Midlands,16,728
2020-11-01,North East and Yorkshire,75,3388
2020-11-01,North West,34,2649
2020-11-01,South East,114,602
2020-11-01,South West,19,343
2020-11-02,East of England,45,894
2020-11-02,London,152,2236
2020-11-02,Midlands,84,4041
2020-11-02,North East and Yorkshire,90,5409
2020-11-02,North West,54,5340
2020-11-02,South East,208,1527
2020-11-02,South West,30,544
2020-11-03,East of England,28,590
2020-11-03,London,111,1491
2020-11-03,Midlands,60,3137
2020-11-03,North East and Yorkshire,87,4607
2020-11-03,North West,32,3501
2020-11-03,South East,121,945
2020-11-03,South West,5,245
2020-11-04,East of England,31,518
2020-11-04,London,115,1374
2020-11-04,Midlands,49,2372
2020-11-04,North East and Yorkshire,66,4170
2020-11-04,North West,35,3155
2020-11-04,South East,147,901
2020-11-04,South West,12,220
2020-11-05,East of England,40,476
2020-11-05,London,110,1184
2020-11-05,Midlands,59,2678
2020-11-05,North East and Yorkshire,96,4358
2020-11-05,North West,34,3231
2020-11-05,South East,126,697
2020-11-05,South West,13,273
2020-11-06,East of England,36,525
2020-11-06,London,133,1409
2020-11-06,Midlands,51,2874
2020-11-06,North East and Yorkshire,83,4378
2020-11-06,North West,21,2441
2020-11-06,South East,146,900
2020-11-06,South West,14,210
2020-11-07,East of England,25,372
2020-11-07,London,80,760
2020-11-07,Midlands,38,2498
2020-11-07,North East and Yorkshire,68,3757
2020-11-07,North West,25,2292
2020-11-07,South East,126,647
2020-11-07,South West,8,104
2020-11-08,East of England,65,524
2020-11-08,London,126,1133
2020-11-08,Midlands,86,2583
2020-11-08,North East and Yorkshire,97,4932
2020-11-08,North West,30,2780
2020-11-08,South East,245,1280
2020-11-08,South West,56,832
2020-11-09,East of England,62,591
2020-11-09,London,211,1760
2020-11-09,Midlands,68,3199
2020-11-09,North East and Yorkshire,140,6036
2020-11-09,North West,41,3936
2020-11-09,South East,277,1085
2020-11-09,South West,15,289
2020-11-10,East of England,55,368
2020-11-10,London,165,1197
2020-11-10,Midlands,82,2748
2020-11-10,North East and Yorkshire,95,4521
2020-11-10,North West,24,3002
2020-11-10,South East,244,1184
2020-11-10,South West,61,894
2020-11-11,East of England,91,659
2020-11-11,London,224,1778
2020-11-11,Midlands,93,3207
2020-11-11,North East and Yorkshire,100,4694
2020-11-11,North West,32,2913
2020-11-11,South East,350,1083
2020-11-11,South West,18,416
2020-11-12,East of England,73,535
2020-11-12,London,223,1502
2020-11-12,Midlands,48,2860
2020-11-12,North East and Yorkshire,73,4143
2020-11-12,North West,30,2698
2020-11-12,South East,342,1088
2020-11-12,South West,31,653
2020-11-13,East of England,82,525
2020-11-13,London,218,1295
2020-11-13,Midlands,46,2517
2020-11-13,North East and Yorkshire,97,3976
2020-11-13,North West,28,2398
2020-11-13,South East,294,1160
2020-11-13,South West,48,756
2020-11-14,East of England,43,448
2020-11-14,London,187,1065
2020-11-14,Midlands,54,2322
2020-11-14,North East and Yorkshire,72,3152
2020-11-14,North West,31,1904
2020-11-14,South East,251,901
2020-11-14,South West,33,630
2020-11-15,East of England,43,294
2020-11-15,London,120,764
2020-11-15,Midlands,35,1883
2020-11-15,North East and Yorkshire,48,2648
2020-11-15,North West,21,1665
2020-11-15,South East,183,719
2020-11-15,South West,23,447
2020-11-16,East of England,87,551
2020-11-16,London,261,1427
2020-11-16,Midlands,73,3417
2020-11-16,North East and Yorkshire,80,3987
2020-11-16,North West,28,2479
2020-11-16,South East,373,1187
2020-11-16,South West,41,720
2020-11-17,East of England,121,648
