date,nhs_name,sgtf,other
2020-10-01,East of England,25,254
2020-10-01,London,62,950
2020-10-01,Midlands,32,1108
2020-10-01,North East and Yorkshire,91,2993
2020-10-01,North West,138,3218
2020-10-01,South East,24,326
2020-10-01,South West,16,283
2020-10-02,East of England,15,196
2020-10-02,London,37,664
2020-10-02,Midlands,30,1150
2020-10-02,North East and Yorkshire,76,3089
2020-10-02,North West,158,2969
2020-10-02,South East,18,370
2020-10-02,South West,15,268
2020-10-03,East of England,23,123
2020-10-03,London,42,311
2020-10-03,Midlands,116,615
2020-10-03,North East and Yorkshire,294,2438
2020-10-03,North West,632,2140
2020-10-03,South East,30,171
2020-10-03,South West,46,162
2020-10-04,East of England,8,144
2020-10-04,London,22,534
2020-10-04,Midlands,14,749
2020-10-04,North East and Yorkshire,42,2757
2020-10-04,North West,42,2557
2020-10-04,South East,15,245
2020-10-04,South West,11,185
2020-10-05,East of England,7,228
2020-10-05,London,40,654
2020-10-05,Midlands,27,1523
2020-10-05,North East and Yorkshire,67,2990
2020-10-05,North West,75,3532
2020-10-05,South East,18,286
2020-10-05,South West,9,262
2020-10-06,East of England,31,411
2020-10-06,London,41,985
2020-10-06,Midlands,16,1503
2020-10-06,North East and Yorkshire,66,3395
2020-10-06,North West,64,3625
2020-10-06,South East,16,544
2020-10-06,South West,17,528
2020-10-07,East of England,34,419
2020-10-07,London,53,910
2020-10-07,Midlands,20,1773
2020-10-07,North East and Yorkshire,72,3885
2020-10-07,North West,83,3863
2020-10-07,South East,23,622
2020-10-07,South West,27,652
2020-10-08,East of England,26,437
2020-10-08,London,52,1118
2020-10-08,Midlands,27,1485
2020-10-08,North East and Yorkshire,61,3212
2020-10-08,North West,52,3246
2020-10-08,South East,28,685
2020-10-08,South West,14,613
2020-10-09,East of England,8,190
2020-10-09,London,33,477
2020-10-09,Midlands,20,1028
2020-10-09,North East and Yorkshire,48,2257
2020-10-09,North West,49,2270
2020-10-09,South East,10,208
2020-10-09,South West,13,273
2020-10-10,East of England,0,54
2020-10-10,London,4,116
2020-10-10,Midlands,6,480
2020-10-10,North East and Yorkshire,39,1722
2020-10-10,North West,22,1790
2020-10-10,South East,3,62
2020-10-10,South West,1,74
2020-10-11,East of England,2,83
2020-10-11,London,16,353
2020-10-11,Midlands,13,497
2020-10-11,North East and Yorkshire,26,1812
2020-10-11,North West,32,2629
2020-10-11,South East,3,165
2020-10-11,South West,6,164
2020-10-12,East of England,10,264
2020-10-12,London,29,767
2020-10-12,Midlands,31,2008
2020-10-12,North East and Yorkshire,65,3638
2020-10-12,North West,65,4561
2020-10-12,South East,13,304
2020-10-12,South West,14,495
2020-10-13,East of England,22,522
2020-10-13,London,74,1170
2020-10-13,Midlands,23,1744
2020-10-13,North East and Yorkshire,68,3344
2020-10-13,North West,57,3524
2020-10-13,South East,19,614
2020-10-13,South West,12,217
2020-10-14,East of England,19,341
2020-10-14,London,61,1160
2020-10-14,Midlands,12,1036
2020-10-14,North East and Yorkshire,81,3373
2020-10-14,North West,40,3414
2020-10-14,South East,23,507
2020-10-14,South West,9,122
2020-10-15,East of England,27,619
2020-10-15,London,79,1491
2020-10-15,Midlands,25,1838
2020-10-15,North East and Yorkshire,63,3303
