"NHS.region","Start.date","End.date","Central.estimate","Lower.bound","Upper.bound","Test","Median.mean","Min.age","Max.age","Data.source","N.tests"
"North East and Yorkshire","15 June 2020","15 June 2020","0.0466268266224148%","0.0114079043767769%","0.112672238459251%","","","","","ONS-CIS",""
"North East and Yorkshire","16 June 2020","16 June 2020","0.0463452025691624%","0.0118854039151608%","0.108075931782738%","","","","","ONS-CIS",""
"North East and Yorkshire","17 June 2020","17 June 2020","0.0461234801828052%","0.0125134950364888%","0.10432247609749%","","","","","ONS-CIS",""
"North East and Yorkshire","18 June 2020","18 June 2020","0.0459580842085634%","0.0130733833272811%","0.101256299826022%","","","","","ONS-CIS",""
"North East and Yorkshire","19 June 2020","19 June 2020","0.0458445307703657%","0.0137176795048832%","0.0993039079494333%","","","","","ONS-CIS",""
"North East and Yorkshire","20 June 2020","20 June 2020","0.0457773297757562%","0.0141706838953384%","0.0972297231163135%","","","","","ONS-CIS",""
"North East and Yorkshire","21 June 2020","21 June 2020","0.0457503075011755%","0.0148318688274709%","0.0955700260936118%","","","","","ONS-CIS",""
"North East and Yorkshire","22 June 2020","22 June 2020","0.0505182644303426%","0.0150311412289516%","0.123581539286347%","","","","","ONS-CIS",""
"North East and Yorkshire","23 June 2020","23 June 2020","0.0498699732476867%","0.0157234705562815%","0.116796464304617%","","","","","ONS-CIS",""
"North East and Yorkshire","24 June 2020","24 June 2020","0.0492989177093516%","0.0164365984333308%","0.11096087133895%","","","","","ONS-CIS",""
"North East and Yorkshire","25 June 2020","25 June 2020","0.0487985546122086%","0.017100718003991%","0.105856030221792%","","","","","ONS-CIS",""
"North East and Yorkshire","26 June 2020","26 June 2020","0.0483616300727375%","0.0176653378712884%","0.10220103278783%","","","","","ONS-CIS",""
"North East and Yorkshire","27 June 2020","27 June 2020","0.0479802380543831%","0.0181924875035201%","0.0987135355217997%","","","","","ONS-CIS",""
"North East and Yorkshire","28 June 2020","28 June 2020","0.0476462868908841%","0.0183092599919916%","0.0962340890338842%","","","","","ONS-CIS",""
"North East and Yorkshire","29 June 2020","29 June 2020","0.0499390372936236%","0.0164998029818643%","0.111127896484132%","","","","","ONS-CIS",""
"North East and Yorkshire","30 June 2020","30 June 2020","0.0495935850869296%","0.017202583549395%","0.106429705408078%","","","","","ONS-CIS",""
"North East and Yorkshire","01 July 2020","01 July 2020","0.0493068006187436%","0.0180714626138318%","0.10231229396133%","","","","","ONS-CIS",""
"North East and Yorkshire","02 July 2020","02 July 2020","0.0490758067678642%","0.0189251260502763%","0.0988974790067356%","","","","","ONS-CIS",""
"North East and Yorkshire","03 July 2020","03 July 2020","0.0455177433367469%","0.015616605521944%","0.0999673242549716%","","","","","ONS-CIS",""
"North East and Yorkshire","04 July 2020","04 July 2020","0.0452440445600351%","0.0163395984439959%","0.0959015260604915%","","","","","ONS-CIS",""
"North East and Yorkshire","05 July 2020","05 July 2020","0.0450428419739744%","0.0171400705280065%","0.0931418939636219%","","","","","ONS-CIS",""
"North East and Yorkshire","06 July 2020","06 July 2020","0.0449091564108017%","0.0178027990562786%","0.0903048744217253%","","","","","ONS-CIS",""
"North East and Yorkshire","07 July 2020","07 July 2020","0.0448368279173789%","0.0185208702273556%","0.088306070302262%","","","","","ONS-CIS",""
"North East and Yorkshire","08 July 2020","08 July 2020","0.0448182742286723%","0.0190777308262849%","0.0866216237735977%","","","","","ONS-CIS",""
"North East and Yorkshire","09 July 2020","09 July 2020","0.0448446833330918%","0.0195737451890967%","0.0856663633912222%","","","","","ONS-CIS",""
"North East and Yorkshire","10 July 2020","10 July 2020","0.0595341857759221%","0.0203845329289575%","0.134868341223961%","","","","","ONS-CIS",""
"North East and Yorkshire","11 July 2020","11 July 2020","0.0588691561847138%","0.0208218045693099%","0.130381759280659%","","","","","ONS-CIS",""
"North East and Yorkshire","12 July 2020","12 July 2020","0.0583057991798626%","0.0213534087087541%","0.126103463748892%","","","","","ONS-CIS",""
"North East and Yorkshire","13 July 2020","13 July 2020","0.0578355943037694%","0.0216409827943454%","0.122433986015898%","","","","","ONS-CIS",""
"North East and Yorkshire","14 July 2020","14 July 2020","0.0574489262433194%","0.0219826212793953%","0.119707412038046%","","","","","ONS-CIS",""
"North East and Yorkshire","15 July 2020","15 July 2020","0.0535347350038783%","0.0171133141932588%","0.129616499225185%","","","","","ONS-CIS",""
"North East and Yorkshire","16 July 2020","16 July 2020","0.0531931931327614%","0.0178657431357017%","0.125921231371925%","","","","","ONS-CIS",""
"North East and Yorkshire","17 July 2020","17 July 2020","0.0529311533202413%","0.018381649523945%","0.12171997969386%","","","","","ONS-CIS",""
"North East and Yorkshire","18 July 2020","18 July 2020","0.0527412333989196%","0.0189652322491611%","0.11834121259791%","","","","","ONS-CIS",""
"North East and Yorkshire","19 July 2020","19 July 2020","0.0526131377411875%","0.0195093464515772%","0.115576530511865%","","","","","ONS-CIS",""
"North East and Yorkshire","20 July 2020","20 July 2020","0.0525340434022003%","0.0199272656451657%","0.113885044087188%","","","","","ONS-CIS",""
"North East and Yorkshire","21 July 2020","21 July 2020","0.0524895677839248%","0.0204002830543166%","0.111646350842391%","","","","","ONS-CIS",""
"North East and Yorkshire","22 July 2020","22 July 2020","0.0524652055309464%","0.020847722026795%","0.111125869577249%","","","","","ONS-CIS",""
"North East and Yorkshire","23 July 2020","23 July 2020","0.0524480203105491%","0.0212303210782221%","0.109544894394076%","","","","","ONS-CIS",""
"North East and Yorkshire","24 July 2020","24 July 2020","0.0524282900117907%","0.0214289997283366%","0.10810027532425%","","","","","ONS-CIS",""
"North East and Yorkshire","25 July 2020","25 July 2020","0.0524007834166438%","0.0217926904009621%","0.107056848457824%","","","","","ONS-CIS",""
"North East and Yorkshire","26 July 2020","26 July 2020","0.0582958298123812%","0.0189336003921486%","0.132011895665565%","","","","","ONS-CIS",""
"North East and Yorkshire","27 July 2020","27 July 2020","0.057939023355341%","0.0194981139599786%","0.127133427154011%","","","","","ONS-CIS",""
"North East and Yorkshire","28 July 2020","28 July 2020","0.0576844395655152%","0.0203120119047578%","0.123981057455088%","","","","","ONS-CIS",""
"North East and Yorkshire","29 July 2020","29 July 2020","0.0575277675752268%","0.0211757768241896%","0.119928565447811%","","","","","ONS-CIS",""
"North East and Yorkshire","30 July 2020","30 July 2020","0.0574634061361732%","0.0218158477696837%","0.117498588226848%","","","","","ONS-CIS",""
"North East and Yorkshire","31 July 2020","31 July 2020","0.073820239852872%","0.0255159660311402%","0.166539937147894%","","","","","ONS-CIS",""
"North East and Yorkshire","01 August 2020","01 August 2020","0.0725341603784815%","0.0260882742213513%","0.157362132381939%","","","","","ONS-CIS",""
"North East and Yorkshire","02 August 2020","02 August 2020","0.071411129175106%","0.0266452230944507%","0.14904439512833%","","","","","ONS-CIS",""
"North East and Yorkshire","03 August 2020","03 August 2020","0.0704425883662071%","0.0271356388252154%","0.143872454427466%","","","","","ONS-CIS",""
"North East and Yorkshire","04 August 2020","04 August 2020","0.0696206887726455%","0.0275051099499043%","0.138699863694226%","","","","","ONS-CIS",""
"North East and Yorkshire","05 August 2020","05 August 2020","0.0689374919932723%","0.0279547432574474%","0.13383187308446%","","","","","ONS-CIS",""
"North East and Yorkshire","06 August 2020","06 August 2020","0.0683851674859584%","0.0283219647732077%","0.130683475196098%","","","","","ONS-CIS",""
"North East and Yorkshire","07 August 2020","07 August 2020","0.0679566780176931%","0.0288016888105116%","0.128812799039736%","","","","","ONS-CIS",""
"North East and Yorkshire","08 August 2020","08 August 2020","0.0676465604694517%","0.0293467694203091%","0.126479287519943%","","","","","ONS-CIS",""
"North East and Yorkshire","09 August 2020","09 August 2020","0.108376887998866%","0.0354829395463753%","0.24720357892284%","","","","","ONS-CIS",""
"North East and Yorkshire","10 August 2020","10 August 2020","0.103423231658911%","0.0355217039203835%","0.223644707107564%","","","","","ONS-CIS",""
"North East and Yorkshire","11 August 2020","11 August 2020","0.0990934910940618%","0.0358994168050068%","0.204946442208143%","","","","","ONS-CIS",""
"North East and Yorkshire","12 August 2020","12 August 2020","0.0953284621350753%","0.0361294930897451%","0.190533100076266%","","","","","ONS-CIS",""
"North East and Yorkshire","13 August 2020","13 August 2020","0.0920786059984392%","0.0360173063192506%","0.17973278145126%","","","","","ONS-CIS",""
"North East and Yorkshire","14 August 2020","14 August 2020","0.0723428121356083%","0.0322265776788451%","0.136040719299778%","","","","","ONS-CIS",""
"North East and Yorkshire","15 August 2020","15 August 2020","0.0718237123080165%","0.0328398254174316%","0.133155470369529%","","","","","ONS-CIS",""
"North East and Yorkshire","16 August 2020","16 August 2020","0.0715270040892994%","0.0331562163003156%","0.130660214913791%","","","","","ONS-CIS",""
"North East and Yorkshire","17 August 2020","17 August 2020","0.0714618624133885%","0.0335755877984191%","0.12919507771546%","","","","","ONS-CIS",""
"North East and Yorkshire","18 August 2020","18 August 2020","0.07164146566946%","0.0339234157488308%","0.128214887317333%","","","","","ONS-CIS",""
"North East and Yorkshire","19 August 2020","19 August 2020","0.0720828649583156%","0.0346004921704074%","0.12808344465795%","","","","","ONS-CIS",""
"North East and Yorkshire","20 August 2020","20 August 2020","0.0728065984081984%","0.035405854066326%","0.128132856234428%","","","","","ONS-CIS",""
"North East and Yorkshire","21 August 2020","21 August 2020","0.0922678462760055%","0.0419426034728983%","0.172173549595007%","","","","","ONS-CIS",""
"North East and Yorkshire","22 August 2020","22 August 2020","0.0896877924566587%","0.0416823434063512%","0.163579445848956%","","","","","ONS-CIS",""
"North East and Yorkshire","23 August 2020","23 August 2020","0.0878927386205448%","0.0414995345879746%","0.157169892079669%","","","","","ONS-CIS",""
"North East and Yorkshire","24 August 2020","24 August 2020","0.086840732044408%","0.041816477256441%","0.152487775498983%","","","","","ONS-CIS",""
"North East and Yorkshire","25 August 2020","25 August 2020","0.0865021771260472%","0.0421709484487841%","0.14963731768863%","","","","","ONS-CIS",""
"North East and Yorkshire","26 August 2020","26 August 2020","0.0868600074172999%","0.0430948127250457%","0.14771788514562%","","","","","ONS-CIS",""
"North East and Yorkshire","27 August 2020","27 August 2020","0.0879095078557357%","0.043892235508892%","0.147335883573953%","","","","","ONS-CIS",""
"North East and Yorkshire","28 August 2020","28 August 2020","0.0703977961657656%","0.0245789669434083%","0.149520235352079%","","","","","ONS-CIS",""
"North East and Yorkshire","29 August 2020","29 August 2020","0.0739998299725146%","0.0272160913352387%","0.152824693229099%","","","","","ONS-CIS",""
"North East and Yorkshire","30 August 2020","30 August 2020","0.0782726806693628%","0.030080685638326%","0.156079521462879%","","","","","ONS-CIS",""
"North East and Yorkshire","31 August 2020","31 August 2020","0.0832839035312881%","0.0340136167860798%","0.160998231934003%","","","","","ONS-CIS",""
"North East and Yorkshire","01 September 2020","01 September 2020","0.0891150493544179%","0.0384360134064653%","0.166477215456511%","","","","","ONS-CIS",""
"North East and Yorkshire","02 September 2020","02 September 2020","0.0958566604755543%","0.0437200461087104%","0.17526619692352%","","","","","ONS-CIS",""
"North East and Yorkshire","03 September 2020","03 September 2020","0.103598962329311%","0.0497783134419517%","0.18411126566744%","","","","","ONS-CIS",""
"North East and Yorkshire","04 September 2020","04 September 2020","0.112419685855375%","0.0561661390847066%","0.194744030700488%","","","","","ONS-CIS",""
"North East and Yorkshire","05 September 2020","05 September 2020","0.129615179057409%","0.0631058749648927%","0.226689165107312%","","","","","ONS-CIS",""
"North East and Yorkshire","06 September 2020","06 September 2020","0.13714221461092%","0.069939759658489%","0.233050332717667%","","","","","ONS-CIS",""
"North East and Yorkshire","07 September 2020","07 September 2020","0.145872830322377%","0.0774259579860959%","0.241633208747207%","","","","","ONS-CIS",""
"North East and Yorkshire","08 September 2020","08 September 2020","0.155976691427082%","0.0862436399838869%","0.251297758958151%","","","","","ONS-CIS",""
"North East and Yorkshire","09 September 2020","09 September 2020","0.167642252244532%","0.0961387588889551%","0.263124512421983%","","","","","ONS-CIS",""
"North East and Yorkshire","10 September 2020","10 September 2020","0.181072787951655%","0.108170923330955%","0.276707506157437%","","","","","ONS-CIS",""
"North East and Yorkshire","11 September 2020","11 September 2020","0.196479445675923%","0.120414499374131%","0.29336091640538%","","","","","ONS-CIS",""
"North East and Yorkshire","12 September 2020","12 September 2020","0.243979672575331%","0.149905813584227%","0.363248020924805%","","","","","ONS-CIS",""
"North East and Yorkshire","13 September 2020","13 September 2020","0.255799706713373%","0.160911422109465%","0.374525079147872%","","","","","ONS-CIS",""
"North East and Yorkshire","14 September 2020","14 September 2020","0.270446989001099%","0.173459491373004%","0.387878082591312%","","","","","ONS-CIS",""
"North East and Yorkshire","15 September 2020","15 September 2020","0.288327005088012%","0.188857390395568%","0.407420652255348%","","","","","ONS-CIS",""
"North East and Yorkshire","16 September 2020","16 September 2020","0.309871988806426%","0.207224736305407%","0.430952765223998%","","","","","ONS-CIS",""
"North East and Yorkshire","17 September 2020","17 September 2020","0.335522081960677%","0.229433189743235%","0.460748739506911%","","","","","ONS-CIS",""
"North East and Yorkshire","18 September 2020","18 September 2020","0.365691395825533%","0.2554198417299%","0.493254076813693%","","","","","ONS-CIS",""
"North East and Yorkshire","19 September 2020","19 September 2020","0.40071870135187%","0.284300088212761%","0.536205155945734%","","","","","ONS-CIS",""
"North East and Yorkshire","20 September 2020","20 September 2020","0.467847712573509%","0.33931901399688%","0.622329102545892%","","","","","ONS-CIS",""
"North East and Yorkshire","21 September 2020","21 September 2020","0.501552552581587%","0.369374302113157%","0.657835712335678%","","","","","ONS-CIS",""
"North East and Yorkshire","22 September 2020","22 September 2020","0.539395085074539%","0.403788806014942%","0.699491341242285%","","","","","ONS-CIS",""
"North East and Yorkshire","23 September 2020","23 September 2020","0.58151615711582%","0.442567024789803%","0.745358161841169%","","","","","ONS-CIS",""
"North East and Yorkshire","24 September 2020","24 September 2020","0.627909391290615%","0.485206529384337%","0.795556006417652%","","","","","ONS-CIS",""
"North East and Yorkshire","25 September 2020","25 September 2020","0.678356259658603%","0.531910741573803%","0.85063280429595%","","","","","ONS-CIS",""
"North East and Yorkshire","26 September 2020","26 September 2020","0.735521124247546%","0.579205112438479%","0.913554816219808%","","","","","ONS-CIS",""
"North East and Yorkshire","27 September 2020","27 September 2020","0.78705631376277%","0.628020064666064%","0.969222785952332%","","","","","ONS-CIS",""
"North East and Yorkshire","28 September 2020","28 September 2020","0.839377924702643%","0.67462165327127%","1.02453116861543%","","","","","ONS-CIS",""
"North East and Yorkshire","29 September 2020","29 September 2020","0.891129855984407%","0.72165915776003%","1.08118883546335%","","","","","ONS-CIS",""
"North East and Yorkshire","30 September 2020","30 September 2020","0.94105574611166%","0.769708244067239%","1.13432897467762%","","","","","ONS-CIS",""
"North East and Yorkshire","01 October 2020","01 October 2020","0.988135347295747%","0.815525083178282%","1.18202298109131%","","","","","ONS-CIS",""
"North East and Yorkshire","02 October 2020","02 October 2020","1.03166987455129%","0.858810815951627%","1.22509933823051%","","","","","ONS-CIS",""
"North East and Yorkshire","03 October 2020","03 October 2020","1.07130642428613%","0.898549769353608%","1.26261651570802%","","","","","ONS-CIS",""
"North East and Yorkshire","04 October 2020","04 October 2020","1.08580948351984%","0.912543478526627%","1.27418653423628%","","","","","ONS-CIS",""
"North East and Yorkshire","05 October 2020","05 October 2020","1.10485344193442%","0.929523311211007%","1.29903650004685%","","","","","ONS-CIS",""
"North East and Yorkshire","06 October 2020","06 October 2020","1.12525995856814%","0.946595780083363%","1.32236750937243%","","","","","ONS-CIS",""
"North East and Yorkshire","07 October 2020","07 October 2020","1.14711342988428%","0.968911936187583%","1.34391637739621%","","","","","ONS-CIS",""
"North East and Yorkshire","08 October 2020","08 October 2020","1.17054185068479%","0.993325700614878%","1.36533967060258%","","","","","ONS-CIS",""
"North East and Yorkshire","09 October 2020","09 October 2020","1.19569354962903%","1.01966844504825%","1.38635822163689%","","","","","ONS-CIS",""
"North East and Yorkshire","10 October 2020","10 October 2020","1.22270643797046%","1.04939187722273%","1.41188314992597%","","","","","ONS-CIS",""
"North East and Yorkshire","11 October 2020","11 October 2020","1.25510234887375%","1.07680815715298%","1.44744869030156%","","","","","ONS-CIS",""
"North East and Yorkshire","12 October 2020","12 October 2020","1.28364151319413%","1.10074544417747%","1.4794547976247%","","","","","ONS-CIS",""
"North East and Yorkshire","13 October 2020","13 October 2020","1.31456619609523%","1.12802778499079%","1.51525712597174%","","","","","ONS-CIS",""
"North East and Yorkshire","14 October 2020","14 October 2020","1.34788152196696%","1.16069416664164%","1.55113264056044%","","","","","ONS-CIS",""
"North East and Yorkshire","15 October 2020","15 October 2020","1.38355198892809%","1.19505997622194%","1.58776529726442%","","","","","ONS-CIS",""
"North East and Yorkshire","16 October 2020","16 October 2020","1.42145217189957%","1.23437066324093%","1.62539920340007%","","","","","ONS-CIS",""
"North East and Yorkshire","17 October 2020","17 October 2020","1.46130697545846%","1.27296899855037%","1.66608770690661%","","","","","ONS-CIS",""
"North East and Yorkshire","18 October 2020","18 October 2020","1.4715600855226%","1.27819370131872%","1.68570367702639%","","","","","ONS-CIS",""
"North East and Yorkshire","19 October 2020","19 October 2020","1.51723529688573%","1.31556543123431%","1.74216970099258%","","","","","ONS-CIS",""
"North East and Yorkshire","20 October 2020","20 October 2020","1.5636823584566%","1.35351294163698%","1.79637368540046%","","","","","ONS-CIS",""
"North East and Yorkshire","21 October 2020","21 October 2020","1.60958754471858%","1.39575909857251%","1.84588170765163%","","","","","ONS-CIS",""
"North East and Yorkshire","22 October 2020","22 October 2020","1.65362367990979%","1.43670346527938%","1.88779426183126%","","","","","ONS-CIS",""
"North East and Yorkshire","23 October 2020","23 October 2020","1.69452493921902%","1.47967247523113%","1.92761938462506%","","","","","ONS-CIS",""
"North East and Yorkshire","24 October 2020","24 October 2020","1.73115018323179%","1.51507032191764%","1.96277512784588%","","","","","ONS-CIS",""
"North East and Yorkshire","25 October 2020","25 October 2020","1.77676751393446%","1.55210817745043%","2.02015857117092%","","","","","ONS-CIS",""
"North East and Yorkshire","26 October 2020","26 October 2020","1.79417113567872%","1.56128833942572%","2.04645849640403%","","","","","ONS-CIS",""
"North East and Yorkshire","27 October 2020","27 October 2020","1.80605930338741%","1.56999487084828%","2.06843742313124%","","","","","ONS-CIS",""
"North East and Yorkshire","28 October 2020","28 October 2020","1.81234883021648%","1.57561879572183%","2.07423947658097%","","","","","ONS-CIS",""
"North East and Yorkshire","29 October 2020","29 October 2020","1.81340082533734%","1.57728731844184%","2.07186066237399%","","","","","ONS-CIS",""
"North East and Yorkshire","30 October 2020","30 October 2020","1.80995369095417%","1.57716064288821%","2.06273214597666%","","","","","ONS-CIS",""
"North East and Yorkshire","31 October 2020","31 October 2020","1.80301276637273%","1.57524075947736%","2.05235342567558%","","","","","ONS-CIS",""
"North East and Yorkshire","01 November 2020","01 November 2020","1.78211682631319%","1.54789098559032%","2.03283307122515%","","","","","ONS-CIS",""
"North East and Yorkshire","02 November 2020","02 November 2020","1.78270990086781%","1.54468860002568%","2.04093010632973%","","","","","ONS-CIS",""
"North East and Yorkshire","03 November 2020","03 November 2020","1.78128968533338%","1.54168000482826%","2.04414593335821%","","","","","ONS-CIS",""
"North East and Yorkshire","04 November 2020","04 November 2020","1.77815231850716%","1.53885857702336%","2.03664484263572%","","","","","ONS-CIS",""
"North East and Yorkshire","05 November 2020","05 November 2020","1.77385666097888%","1.53687749845307%","2.02848674921521%","","","","","ONS-CIS",""
"North East and Yorkshire","06 November 2020","06 November 2020","1.76913427229234%","1.53985776203636%","2.01593128469446%","","","","","ONS-CIS",""
"North East and Yorkshire","07 November 2020","07 November 2020","1.76477469291225%","1.54033057584212%","2.00743685768014%","","","","","ONS-CIS",""
"North East and Yorkshire","08 November 2020","08 November 2020","1.76150986267109%","1.53809972766126%","2.00035842028966%","","","","","ONS-CIS",""
"North East and Yorkshire","09 November 2020","09 November 2020","1.75991711735377%","1.53282533866196%","2.00257202874102%","","","","","ONS-CIS",""
"North East and Yorkshire","10 November 2020","10 November 2020","1.76035161224519%","1.5313119013961%","2.00912629613718%","","","","","ONS-CIS",""
"North East and Yorkshire","11 November 2020","11 November 2020","1.76290984719601%","1.52943841165597%","2.01923527580582%","","","","","ONS-CIS",""
"North East and Yorkshire","12 November 2020","12 November 2020","1.76741907263061%","1.52940797216711%","2.02667305730414%","","","","","ONS-CIS",""
"North East and Yorkshire","13 November 2020","13 November 2020","1.77344419067077%","1.53279765377503%","2.03496957548261%","","","","","ONS-CIS",""
"North East and Yorkshire","14 November 2020","14 November 2020","1.78030448935775%","1.54120133304341%","2.03980960603293%","","","","","ONS-CIS",""
"North East and Yorkshire","15 November 2020","15 November 2020","1.78709639416367%","1.55146159164901%","2.04376891758362%","","","","","ONS-CIS",""
"North East and Yorkshire","16 November 2020","16 November 2020","1.7927239400515%","1.55666703289704%","2.04545651693927%","","","","","ONS-CIS",""
"North East and Yorkshire","17 November 2020","17 November 2020","1.79594384314792%","1.56124905560616%","2.04548196308428%","","","","","ONS-CIS",""
"North East and Yorkshire","18 November 2020","18 November 2020","1.79543453315975%","1.56529984851889%","2.04330089753274%","","","","","ONS-CIS",""
"North East and Yorkshire","19 November 2020","19 November 2020","1.78989620196604%","1.55903875530629%","2.04254930698858%","","","","","ONS-CIS",""
"North East and Yorkshire","20 November 2020","20 November 2020","1.7781809694349%","1.54543220496153%","2.03663956980316%","","","","","ONS-CIS",""
"North East and Yorkshire","21 November 2020","21 November 2020","1.75944006857317%","1.52375953037059%","2.02371574865605%","","","","","ONS-CIS",""
"North East and Yorkshire","22 November 2020","22 November 2020","1.73326257143141%","1.4947843728568%","1.99784995657842%","","","","","ONS-CIS",""
"North East and Yorkshire","23 November 2020","23 November 2020","1.69977333655831%","1.46320104680687%","1.96284628734419%","","","","","ONS-CIS",""
"North East and Yorkshire","24 November 2020","24 November 2020","1.65966139593615%","1.42573449891888%","1.91976151740229%","","","","","ONS-CIS",""
"North East and Yorkshire","25 November 2020","25 November 2020","1.61412484317836%","1.38810044052037%","1.86518942283961%","","","","","ONS-CIS",""
"North East and Yorkshire","26 November 2020","26 November 2020","1.56473996225804%","1.34394877178845%","1.80635609855019%","","","","","ONS-CIS",""
"North East and Yorkshire","27 November 2020","27 November 2020","1.51328254981863%","1.29803536361762%","1.74490724192776%","","","","","ONS-CIS",""
"North East and Yorkshire","28 November 2020","28 November 2020","1.46154016048935%","1.24808952661488%","1.69106923352402%","","","","","ONS-CIS",""
"North East and Yorkshire","29 November 2020","29 November 2020","1.41115183424681%","1.19960652107101%","1.64055499072507%","","","","","ONS-CIS",""
"North East and Yorkshire","30 November 2020","30 November 2020","1.36349910790634%","1.15192451447275%","1.59402759427401%","","","","","ONS-CIS",""
"North East and Yorkshire","01 December 2020","01 December 2020","1.31965500399294%","1.10855684914834%","1.55018199142461%","","","","","ONS-CIS",""
"North East and Yorkshire","02 December 2020","02 December 2020","1.28038270864675%","1.06892692456077%","1.51424942990577%","","","","","ONS-CIS",""
"North East and Yorkshire","03 December 2020","03 December 2020","1.24616673969966%","1.03710365500926%","1.48083752430137%","","","","","ONS-CIS",""
"North East and Yorkshire","04 December 2020","04 December 2020","1.21725730463526%","1.00902075414219%","1.44933419609366%","","","","","ONS-CIS",""
"North East and Yorkshire","05 December 2020","05 December 2020","1.19371178694594%","0.989392816972555%","1.42262066706812%","","","","","ONS-CIS",""
"North East and Yorkshire","06 December 2020","06 December 2020","1.17542366161939%","0.972746609787933%","1.40452553299893%","","","","","ONS-CIS",""
"North East and Yorkshire","07 December 2020","07 December 2020","1.16213667821859%","0.953493605832108%","1.39381343217353%","","","","","ONS-CIS",""
"North East and Yorkshire","08 December 2020","08 December 2020","1.1534495258352%","0.931955502103005%","1.40142409520606%","","","","","ONS-CIS",""
"North East and Yorkshire","09 December 2020","09 December 2020","1.14882253467641%","0.906831435295129%","1.42370006137411%","","","","","ONS-CIS",""
"North East and Yorkshire","10 December 2020","10 December 2020","1.1476025131694%","0.876639521947569%","1.46113532542195%","","","","","ONS-CIS",""
"North East and Yorkshire","11 December 2020","11 December 2020","1.1490836490186%","0.844435074900802%","1.51355616121313%","","","","","ONS-CIS",""
"North East and Yorkshire","12 December 2020","12 December 2020","1.15262060424825%","0.80841502130423%","1.5748005600259%","","","","","ONS-CIS",""
"North West","15 June 2020","15 June 2020","0.0513829406113296%","0.0176874760235915%","0.113133922778292%","","","","","ONS-CIS",""
"North West","16 June 2020","16 June 2020","0.0507935282917185%","0.0182720025926259%","0.107129592509974%","","","","","ONS-CIS",""
"North West","17 June 2020","17 June 2020","0.0502677197257871%","0.0186875798041908%","0.104005941509484%","","","","","ONS-CIS",""
"North West","18 June 2020","18 June 2020","0.0498009904554549%","0.0192360893823954%","0.100466816850258%","","","","","ONS-CIS",""
"North West","19 June 2020","19 June 2020","0.0493881606306362%","0.0195858974034539%","0.0965125694676789%","","","","","ONS-CIS",""
"North West","20 June 2020","20 June 2020","0.0490233903578048%","0.0200982149881768%","0.093883628767764%","","","","","ONS-CIS",""
"North West","21 June 2020","21 June 2020","0.0487005489052274%","0.0203797220815829%","0.0914759913169732%","","","","","ONS-CIS",""
"North West","22 June 2020","22 June 2020","0.0382760573744808%","0.009895246403334%","0.0821886040362805%","","","","","ONS-CIS",""
"North West","23 June 2020","23 June 2020","0.0381795002419517%","0.0105276801516894%","0.0790625895958981%","","","","","ONS-CIS",""
"North West","24 June 2020","24 June 2020","0.0381261466969572%","0.0111043852159533%","0.0772529806898831%","","","","","ONS-CIS",""
"North West","25 June 2020","25 June 2020","0.0381166393286019%","0.0117048628753958%","0.0756042264134664%","","","","","ONS-CIS",""
"North West","26 June 2020","26 June 2020","0.0381514887461811%","0.0121462603467543%","0.0737732284326205%","","","","","ONS-CIS",""
"North West","27 June 2020","27 June 2020","0.0382308282221983%","0.0125948041327977%","0.0723203392027197%","","","","","ONS-CIS",""
"North West","28 June 2020","28 June 2020","0.0383545092001026%","0.0133818588090581%","0.0716363878932724%","","","","","ONS-CIS",""
"North West","29 June 2020","29 June 2020","0.0463569819289199%","0.0140388952653073%","0.095691694790659%","","","","","ONS-CIS",""
"North West","30 June 2020","30 June 2020","0.0462384068175371%","0.0152319623807847%","0.0937082512777938%","","","","","ONS-CIS",""
"North West","01 July 2020","01 July 2020","0.0461723526178306%","0.0164012543677195%","0.0908476824534252%","","","","","ONS-CIS",""
"North West","02 July 2020","02 July 2020","0.0461597610775252%","0.0173013234466393%","0.0889868554278947%","","","","","ONS-CIS",""
"North West","03 July 2020","03 July 2020","0.038331332488529%","0.0134061421906673%","0.0831079243606255%","","","","","ONS-CIS",""
"North West","04 July 2020","04 July 2020","0.0383593345073089%","0.0143340714842036%","0.0809630173595706%","","","","","ONS-CIS",""
"North West","05 July 2020","05 July 2020","0.0384527982226142%","0.0151393709343645%","0.079220080269148%","","","","","ONS-CIS",""
"North West","06 July 2020","06 July 2020","0.0386124468537057%","0.0158291229167972%","0.0772327662464425%","","","","","ONS-CIS",""
"North West","07 July 2020","07 July 2020","0.0388372439234008%","0.0166474075889123%","0.07559457742518%","","","","","ONS-CIS",""
"North West","08 July 2020","08 July 2020","0.0391240261881389%","0.0174623265085679%","0.0752486628767309%","","","","","ONS-CIS",""
"North West","09 July 2020","09 July 2020","0.0394677138311985%","0.0181568428220867%","0.0753304145210419%","","","","","ONS-CIS",""
"North West","10 July 2020","10 July 2020","0.0700972629967909%","0.0249863587412586%","0.155564853089995%","","","","","ONS-CIS",""
"North West","11 July 2020","11 July 2020","0.0691964397586561%","0.0256490679694433%","0.148387012592383%","","","","","ONS-CIS",""
"North West","12 July 2020","12 July 2020","0.0684411077797317%","0.0259902058244907%","0.142997503401622%","","","","","ONS-CIS",""
"North West","13 July 2020","13 July 2020","0.067818225530208%","0.0264845857809168%","0.137900408452261%","","","","","ONS-CIS",""
