sample_date,nhs,all,var2,nhs_name
2020-03-17,E40000008,8,0,Midlands
2020-03-17,E40000009,20,0,North East and Yorkshire
2020-03-17,E40000010,22,0,North West
2020-03-17,N99999999,7,0,Northern Ireland
2020-03-17,S99999999,33,0,Scotland
2020-03-17,W99999999,11,0,Wales
2020-03-18,E40000003,62,0,London
2020-03-18,E40000005,7,0,South East
2020-03-18,E40000006,28,0,South West
2020-03-18,E40000007,29,0,East of England
2020-03-18,E40000008,9,0,Midlands
2020-03-18,E40000009,34,0,North East and Yorkshire
2020-03-18,E40000010,22,0,North West
2020-03-18,N99999999,6,0,Northern Ireland
2020-03-18,S99999999,29,0,Scotland
2020-03-18,W99999999,10,0,Wales
2020-03-19,E40000003,40,0,London
2020-03-19,E40000005,22,0,South East
2020-03-19,E40000006,20,0,South West
2020-03-19,E40000007,25,0,East of England
2020-03-19,E40000008,9,0,Midlands
2020-03-19,E40000009,41,0,North East and Yorkshire
2020-03-19,E40000010,24,0,North West
2020-03-19,N99999999,3,0,Northern Ireland
2020-03-19,S99999999,33,0,Scotland
2020-03-19,W99999999,34,0,Wales
2020-03-20,E40000003,53,0,London
2020-03-20,E40000005,22,0,South East
2020-03-20,E40000006,19,0,South West
2020-03-20,E40000007,40,0,East of England
2020-03-20,E40000008,12,0,Midlands
2020-03-20,E40000009,44,0,North East and Yorkshire
2020-03-20,E40000010,13,0,North West
2020-03-20,N99999999,6,0,Northern Ireland
2020-03-20,S99999999,41,0,Scotland
2020-03-20,W99999999,15,0,Wales
2020-03-21,E40000003,38,0,London
2020-03-21,E40000005,27,0,South East
2020-03-21,E40000006,20,0,South West
2020-03-21,E40000007,48,0,East of England
2020-03-21,E40000008,22,0,Midlands
2020-03-21,E40000009,62,0,North East and Yorkshire
2020-03-21,E40000010,30,0,North West
2020-03-21,N99999999,13,0,Northern Ireland
2020-03-21,S99999999,45,0,Scotland
2020-03-21,W99999999,3,0,Wales
2020-03-22,E40000003,52,0,London
2020-03-22,E40000005,22,0,South East
2020-03-22,E40000006,29,0,South West
2020-03-22,E40000007,56,0,East of England
2020-03-22,E40000008,17,0,Midlands
2020-03-22,E40000009,39,0,North East and Yorkshire
2020-03-22,E40000010,11,0,North West
2020-03-22,N99999999,9,0,Northern Ireland
2020-03-22,S99999999,51,0,Scotland
2020-03-22,W99999999,1,0,Wales
2020-03-23,E40000003,117,0,London
2020-03-23,E40000005,25,0,South East
2020-03-23,E40000006,42,0,South West
2020-03-23,E40000007,90,0,East of England
2020-03-23,E40000008,21,0,Midlands
2020-03-23,E40000009,71,0,North East and Yorkshire
2020-03-23,E40000010,59,0,North West
2020-03-23,N99999999,29,0,Northern Ireland
2020-03-23,S99999999,97,0,Scotland
2020-03-23,W99999999,12,0,Wales
2020-03-24,E40000003,93,0,London
2020-03-24,E40000005,32,0,South East
2020-03-24,E40000006,27,0,South West
2020-03-24,E40000007,42,0,East of England
2020-03-24,E40000008,32,0,Midlands
2020-03-24,E40000009,95,0,North East and Yorkshire
2020-03-24,E40000010,69,0,North West
2020-03-24,N99999999,23,0,Northern Ireland
2020-03-24,S99999999,94,0,Scotland
2020-03-24,W99999999,68,0,Wales
2020-03-25,E40000003,77,0,London
2020-03-25,E40000005,29,0,South East
2020-03-25,E40000006,60,0,South West
2020-03-25,E40000007,9,0,East of England
2020-03-25,E40000008,22,0,Midlands
2020-03-25,E40000009,123,0,North East and Yorkshire
2020-03-25,E40000010,45,0,North West
2020-03-25,N99999999,18,0,Northern Ireland
2020-03-25,S99999999,87,0,Scotland
2020-03-25,W99999999,164,0,Wales
2020-03-26,E40000003,83,0,London
2020-03-26,E40000005,25,0,South East
2020-03-26,E40000006,59,0,South West
2020-03-26,E40000007,44,0,East of England
2020-03-26,E40000008,4,0,Midlands
2020-03-26,E40000009,110,0,North East and Yorkshire
2020-03-26,E40000010,86,0,North West
2020-03-26,N99999999,29,0,Northern Ireland
2020-03-26,S99999999,119,0,Scotland
2020-03-26,W99999999,56,0,Wales
2020-03-27,E40000003,105,0,London
2020-03-27,E40000005,22,0,South East
2020-03-27,E40000006,74,0,South West
2020-03-27,E40000007,19,0,East of England
2020-03-27,E40000008,9,0,Midlands
2020-03-27,E40000009,100,0,North East and Yorkshire
2020-03-27,E40000010,33,0,North West
2020-03-27,N99999999,35,0,Northern Ireland
2020-03-27,S99999999,145,0,Scotland
2020-03-27,W99999999,106,0,Wales
2020-03-28,E40000003,95,0,London
2020-03-28,E40000005,21,0,South East
2020-03-28,E40000006,39,0,South West
2020-03-28,E40000007,69,0,East of England
2020-03-28,E40000008,30,0,Midlands
2020-03-28,E40000009,89,0,North East and Yorkshire
2020-03-28,E40000010,37,0,North West
2020-03-28,N99999999,16,0,Northern Ireland
2020-03-28,S99999999,97,0,Scotland
2020-03-28,W99999999,66,0,Wales
2020-03-29,E40000003,87,0,London
2020-03-29,E40000005,16,0,South East
2020-03-29,E40000006,48,0,South West
2020-03-29,E40000007,117,0,East of England
2020-03-29,E40000008,25,0,Midlands
2020-03-29,E40000009,86,0,North East and Yorkshire
2020-03-29,E40000010,36,0,North West
2020-03-29,N99999999,17,0,Northern Ireland
2020-03-29,S99999999,77,0,Scotland
2020-03-29,W99999999,66,0,Wales
2020-03-30,E40000003,113,0,London
2020-03-30,E40000005,32,0,South East
2020-03-30,E40000006,83,0,South West
2020-03-30,E40000007,135,0,East of England
2020-03-30,E40000008,34,0,Midlands
2020-03-30,E40000009,97,0,North East and Yorkshire
2020-03-30,E40000010,22,0,North West
2020-03-30,N99999999,41,0,Northern Ireland
2020-03-30,S99999999,136,0,Scotland
2020-03-30,W99999999,132,0,Wales
2020-03-31,E40000003,112,0,London
2020-03-31,E40000005,40,0,South East
2020-03-31,E40000006,68,0,South West
2020-03-31,E40000007,165,0,East of England
2020-03-31,E40000008,11,0,Midlands
2020-03-31,E40000009,93,0,North East and Yorkshire
2020-03-31,E40000010,25,0,North West
2020-03-31,N99999999,38,0,Northern Ireland
2020-03-31,S99999999,103,0,Scotland
2020-03-31,W99999999,168,0,Wales
2020-04-01,E40000003,70,0,London
2020-04-01,E40000005,29,0,South East
2020-04-01,E40000006,65,0,South West
2020-04-01,E40000007,161,0,East of England
2020-04-01,E40000008,21,0,Midlands
2020-04-01,E40000009,84,0,North East and Yorkshire
2020-04-01,E40000010,26,0,North West
2020-04-01,N99999999,11,0,Northern Ireland
2020-04-01,S99999999,105,0,Scotland
2020-04-01,W99999999,164,0,Wales
2020-04-02,E40000003,81,0,London
2020-04-02,E40000005,27,0,South East
2020-04-02,E40000006,65,0,South West
2020-04-02,E40000007,166,0,East of England
2020-04-02,E40000008,26,0,Midlands
2020-04-02,E40000009,101,0,North East and Yorkshire
2020-04-02,E40000010,21,0,North West
2020-04-02,N99999999,2,0,Northern Ireland
2020-04-02,S99999999,71,0,Scotland
2020-04-02,W99999999,109,0,Wales
2020-04-03,E40000003,65,0,London
2020-04-03,E40000005,29,0,South East
2020-04-03,E40000006,86,0,South West
2020-04-03,E40000007,170,0,East of England
2020-04-03,E40000008,34,0,Midlands
2020-04-03,E40000009,89,0,North East and Yorkshire
2020-04-03,E40000010,37,0,North West
2020-04-03,S99999999,97,0,Scotland
2020-04-03,W99999999,115,0,Wales
2020-04-04,E40000003,55,0,London
2020-04-04,E40000005,23,0,South East
2020-04-04,E40000006,67,0,South West
2020-04-04,E40000007,99,0,East of England
2020-04-04,E40000008,18,0,Midlands
2020-04-04,E40000009,64,0,North East and Yorkshire
2020-04-04,E40000010,24,0,North West
2020-04-04,N99999999,1,0,Northern Ireland
2020-04-04,S99999999,80,0,Scotland
2020-04-04,W99999999,140,0,Wales
2020-04-05,E40000003,37,0,London
2020-04-05,E40000005,34,0,South East
2020-04-05,E40000006,67,0,South West
2020-04-05,E40000007,136,0,East of England
2020-04-05,E40000008,21,0,Midlands
2020-04-05,E40000009,23,0,North East and Yorkshire
2020-04-05,E40000010,24,0,North West
2020-04-05,S99999999,67,0,Scotland
2020-04-05,W99999999,78,0,Wales
2020-04-06,E40000003,89,0,London
2020-04-06,E40000005,46,0,South East
2020-04-06,E40000006,61,0,South West
2020-04-06,E40000007,210,0,East of England
2020-04-06,E40000008,10,0,Midlands
2020-04-06,E40000009,35,0,North East and Yorkshire
2020-04-06,E40000010,10,0,North West
2020-04-06,N99999999,22,0,Northern Ireland
2020-04-06,S99999999,137,0,Scotland
2020-04-06,W99999999,175,0,Wales
2020-04-07,E40000003,44,0,London
2020-04-07,E40000005,54,0,South East
2020-04-07,E40000006,74,0,South West
2020-04-07,E40000007,157,0,East of England
2020-04-07,E40000008,36,0,Midlands
2020-04-07,E40000009,23,0,North East and Yorkshire
2020-04-07,E40000010,30,0,North West
