date,nhs_name,sgtf,other
2020-10-01,East of England,12,202
2020-10-01,London,40,749
2020-10-01,Midlands,14,938
2020-10-01,North East and Yorkshire,52,2574
2020-10-01,North West,63,2820
2020-10-01,South East,18,265
2020-10-01,South West,10,249
2020-10-02,East of England,14,163
2020-10-02,London,25,536
2020-10-02,Midlands,12,1010
2020-10-02,North East and Yorkshire,32,2738
2020-10-02,North West,65,2699
2020-10-02,South East,16,316
2020-10-02,South West,12,240
2020-10-03,East of England,3,94
2020-10-03,London,8,243
2020-10-03,Midlands,8,543
2020-10-03,North East and Yorkshire,43,2180
2020-10-03,North West,42,1911
2020-10-03,South East,7,134
2020-10-03,South West,6,135
2020-10-04,East of England,6,119
2020-10-04,London,21,431
2020-10-04,Midlands,8,668
2020-10-04,North East and Yorkshire,42,2479
2020-10-04,North West,42,2347
2020-10-04,South East,13,204
2020-10-04,South West,11,163
2020-10-05,East of England,5,189
2020-10-05,London,34,506
2020-10-05,Midlands,24,1380
2020-10-05,North East and Yorkshire,61,2719
2020-10-05,North West,74,3241
2020-10-05,South East,16,238
2020-10-05,South West,8,223
2020-10-06,East of England,29,346
2020-10-06,London,41,832
2020-10-06,Midlands,16,1345
2020-10-06,North East and Yorkshire,60,3138
2020-10-06,North West,60,3356
2020-10-06,South East,15,469
2020-10-06,South West,17,445
2020-10-07,East of England,31,342
2020-10-07,London,50,742
2020-10-07,Midlands,17,1507
2020-10-07,North East and Yorkshire,61,3313
2020-10-07,North West,72,3325
2020-10-07,South East,22,524
2020-10-07,South West,27,554
2020-10-08,East of England,25,341
2020-10-08,London,45,899
2020-10-08,Midlands,24,1297
2020-10-08,North East and Yorkshire,58,2825
2020-10-08,North West,50,2776
2020-10-08,South East,26,564
2020-10-08,South West,12,523
2020-10-09,East of England,8,149
2020-10-09,London,30,339
2020-10-09,Midlands,13,824
2020-10-09,North East and Yorkshire,42,1810
2020-10-09,North West,40,1765
2020-10-09,South East,8,136
2020-10-09,South West,11,212
2020-10-10,East of England,0,37
2020-10-10,London,4,63
2020-10-10,Midlands,6,394
2020-10-10,North East and Yorkshire,38,1515
2020-10-10,North West,22,1592
2020-10-10,South East,3,45
2020-10-10,South West,1,64
2020-10-11,East of England,2,61
2020-10-11,London,15,270
2020-10-11,Midlands,10,406
2020-10-11,North East and Yorkshire,25,1566
2020-10-11,North West,29,2289
2020-10-11,South East,3,119
2020-10-11,South West,6,142
2020-10-12,East of England,10,214
2020-10-12,London,28,609
2020-10-12,Midlands,27,1631
2020-10-12,North East and Yorkshire,54,2879
2020-10-12,North West,52,3596
2020-10-12,South East,13,249
2020-10-12,South West,14,436
2020-10-13,East of England,18,440
2020-10-13,London,72,982
2020-10-13,Midlands,21,1566
2020-10-13,North East and Yorkshire,67,3017
2020-10-13,North West,53,3216
2020-10-13,South East,19,524
2020-10-13,South West,12,194
2020-10-14,East of England,19,277
2020-10-14,London,56,937
2020-10-14,Midlands,11,854
2020-10-14,North East and Yorkshire,80,2951
2020-10-14,North West,38,3033
2020-10-14,South East,20,407
2020-10-14,South West,9,97
2020-10-15,East of England,26,529
2020-10-15,London,73,1253
2020-10-15,Midlands,22,1585
2020-10-15,North East and Yorkshire,59,2905
2020-10-15,North West,37,3160
2020-10-15,South East,42,478
2020-10-15,South West,3,103
2020-10-16,East of England,18,375
2020-10-16,London,57,1085
2020-10-16,Midlands,8,773
2020-10-16,North East and Yorkshire,35,1263
2020-10-16,North West,42,2740
2020-10-16,South East,27,437
2020-10-16,South West,6,86
2020-10-17,East of England,5,31
2020-10-17,London,3,62
2020-10-17,Midlands,14,628
2020-10-17,North East and Yorkshire,28,1346
2020-10-17,North West,39,2822
2020-10-17,South East,2,30
2020-10-17,South West,1,27
2020-10-18,East of England,1,39
2020-10-18,London,2,83
2020-10-18,Midlands,14,621
2020-10-18,North East and Yorkshire,22,1297
2020-10-18,North West,41,2623
2020-10-18,South East,1,47
2020-10-18,South West,0,24
2020-10-19,East of England,22,698
2020-10-19,London,93,1669
2020-10-19,Midlands,45,2402
2020-10-19,North East and Yorkshire,97,4168
2020-10-19,North West,71,4845
2020-10-19,South East,42,743
2020-10-19,South West,11,150
2020-10-20,East of England,22,556
2020-10-20,London,84,1647
2020-10-20,Midlands,35,2203
2020-10-20,North East and Yorkshire,92,3881
2020-10-20,North West,43,4222
2020-10-20,South East,65,842
2020-10-20,South West,7,129
2020-10-21,East of England,19,507
2020-10-21,London,102,1745
2020-10-21,Midlands,39,2266
2020-10-21,North East and Yorkshire,69,3866
2020-10-21,North West,56,4201
2020-10-21,South East,85,847
2020-10-21,South West,15,194
2020-10-22,East of England,15,501
2020-10-22,London,88,1678
2020-10-22,Midlands,27,2190
2020-10-22,North East and Yorkshire,66,3499
2020-10-22,North West,47,3670
2020-10-22,South East,62,807
2020-10-22,South West,18,403
2020-10-23,East of England,19,449
2020-10-23,London,73,1402
2020-10-23,Midlands,27,1706
2020-10-23,North East and Yorkshire,59,2580
2020-10-23,North West,51,3287
2020-10-23,South East,61,738
2020-10-23,South West,6,187
2020-10-24,East of England,8,194
2020-10-24,London,34,580
2020-10-24,Midlands,27,1487
2020-10-24,North East and Yorkshire,47,2491
2020-10-24,North West,40,2660
2020-10-24,South East,22,332
2020-10-24,South West,11,262
2020-10-25,East of England,4,43
2020-10-25,London,10,108
2020-10-25,Midlands,23,1495
2020-10-25,North East and Yorkshire,43,2442
2020-10-25,North West,20,2619
2020-10-25,South East,3,49
2020-10-25,South West,3,50
2020-10-26,East of England,40,606
