date,nhs_name,sgtf,other
2020-10-01,East of England,24,239
2020-10-01,London,57,897
2020-10-01,Midlands,31,1050
2020-10-01,North East and Yorkshire,88,2896
2020-10-01,North West,135,3119
2020-10-01,South East,24,307
2020-10-01,South West,15,277
2020-10-02,East of England,14,181
2020-10-02,London,35,620
2020-10-02,Midlands,29,1097
2020-10-02,North East and Yorkshire,75,2968
2020-10-02,North West,155,2864
2020-10-02,South East,18,349
2020-10-02,South West,15,261
2020-10-03,East of England,21,106
2020-10-03,London,42,278
2020-10-03,Midlands,116,581
2020-10-03,North East and Yorkshire,289,2367
2020-10-03,North West,632,2038
2020-10-03,South East,30,147
2020-10-03,South West,46,157
2020-10-04,East of England,6,132
2020-10-04,London,21,481
2020-10-04,Midlands,14,707
2020-10-04,North East and Yorkshire,42,2671
2020-10-04,North West,42,2469
2020-10-04,South East,13,229
2020-10-04,South West,11,171
2020-10-05,East of England,6,216
2020-10-05,London,35,599
2020-10-05,Midlands,25,1466
2020-10-05,North East and Yorkshire,63,2886
2020-10-05,North West,75,3399
2020-10-05,South East,16,266
2020-10-05,South West,8,250
2020-10-06,East of England,29,397
2020-10-06,London,41,909
2020-10-06,Midlands,16,1441
2020-10-06,North East and Yorkshire,65,3279
2020-10-06,North West,62,3482
2020-10-06,South East,16,522
2020-10-06,South West,17,520
2020-10-07,East of England,33,402
2020-10-07,London,52,859
2020-10-07,Midlands,19,1718
2020-10-07,North East and Yorkshire,70,3751
2020-10-07,North West,80,3744
2020-10-07,South East,22,595
2020-10-07,South West,27,650
2020-10-08,East of England,25,412
2020-10-08,London,48,1045
2020-10-08,Midlands,27,1419
2020-10-08,North East and Yorkshire,61,3091
2020-10-08,North West,51,3094
2020-10-08,South East,27,655
2020-10-08,South West,14,606
2020-10-09,East of England,8,179
2020-10-09,London,30,423
2020-10-09,Midlands,17,989
2020-10-09,North East and Yorkshire,46,2165
2020-10-09,North West,48,2169
2020-10-09,South East,9,194
2020-10-09,South West,13,261
2020-10-10,East of England,0,40
2020-10-10,London,4,78
2020-10-10,Midlands,6,430
2020-10-10,North East and Yorkshire,38,1635
2020-10-10,North West,22,1695
2020-10-10,South East,3,48
2020-10-10,South West,1,70
2020-10-11,East of England,2,74
2020-10-11,London,15,309
2020-10-11,Midlands,10,454
2020-10-11,North East and Yorkshire,26,1726
2020-10-11,North West,31,2552
2020-10-11,South East,3,155
2020-10-11,South West,6,161
2020-10-12,East of England,10,238
2020-10-12,London,28,687
2020-10-12,Midlands,31,1920
2020-10-12,North East and Yorkshire,60,3496
2020-10-12,North West,65,4429
2020-10-12,South East,13,282
2020-10-12,South West,14,488
2020-10-13,East of England,18,498
2020-10-13,London,72,1116
2020-10-13,Midlands,22,1669
2020-10-13,North East and Yorkshire,67,3204
2020-10-13,North West,56,3407
2020-10-13,South East,19,572
2020-10-13,South West,12,211
2020-10-14,East of England,19,316
2020-10-14,London,60,1096
2020-10-14,Midlands,11,938
2020-10-14,North East and Yorkshire,81,3205
2020-10-14,North West,38,3239
2020-10-14,South East,22,479
2020-10-14,South West,9,112
2020-10-15,East of England,26,597
2020-10-15,London,74,1423
2020-10-15,Midlands,23,1713
2020-10-15,North East and Yorkshire,60,3108
2020-10-15,North West,40,3346
2020-10-15,South East,41,555
2020-10-15,South West,4,116
2020-10-16,East of England,18,424
2020-10-16,London,58,1265
2020-10-16,Midlands,9,824
2020-10-16,North East and Yorkshire,35,1338
2020-10-16,North West,42,2893
2020-10-16,South East,28,489
2020-10-16,South West,6,104
2020-10-17,East of England,5,35
2020-10-17,London,3,75
2020-10-17,Midlands,14,667
2020-10-17,North East and Yorkshire,29,1445
2020-10-17,North West,41,3014
2020-10-17,South East,2,33
2020-10-17,South West,1,35
2020-10-18,East of England,1,47
2020-10-18,London,3,101
2020-10-18,Midlands,15,662
2020-10-18,North East and Yorkshire,23,1370
2020-10-18,North West,45,2736
2020-10-18,South East,1,55
2020-10-18,South West,0,32
2020-10-19,East of England,22,862
2020-10-19,London,105,2189
2020-10-19,Midlands,52,2750
2020-10-19,North East and Yorkshire,106,4703
2020-10-19,North West,82,5476
2020-10-19,South East,47,878
2020-10-19,South West,12,193
2020-10-20,East of England,23,606
2020-10-20,London,85,1852
2020-10-20,Midlands,35,2363
2020-10-20,North East and Yorkshire,94,4164
2020-10-20,North West,48,4453
2020-10-20,South East,64,955
2020-10-20,South West,7,150
2020-10-21,East of England,20,567
2020-10-21,London,103,1954
2020-10-21,Midlands,40,2456
2020-10-21,North East and Yorkshire,69,4144
2020-10-21,North West,57,4433
2020-10-21,South East,87,941
2020-10-21,South West,15,221
2020-10-22,East of England,15,554
2020-10-22,London,90,1857
2020-10-22,Midlands,28,2368
2020-10-22,North East and Yorkshire,66,3782
2020-10-22,North West,48,3868
2020-10-22,South East,62,889
2020-10-22,South West,18,439
2020-10-23,East of England,19,511
2020-10-23,London,73,1546
2020-10-23,Midlands,27,1830
2020-10-23,North East and Yorkshire,59,2799
2020-10-23,North West,52,3468
2020-10-23,South East,62,812
2020-10-23,South West,6,199
2020-10-24,East of England,8,226
2020-10-24,London,34,630
2020-10-24,Midlands,29,1573
2020-10-24,North East and Yorkshire,48,2652
2020-10-24,North West,40,2817
2020-10-24,South East,22,379
2020-10-24,South West,11,290
2020-10-25,East of England,4,48
2020-10-25,London,10,127
2020-10-25,Midlands,23,1589
2020-10-25,North East and Yorkshire,43,2600
2020-10-25,North West,21,2754
2020-10-25,South East,4,55
2020-10-25,South West,3,56
2020-10-26,East of England,40,697
2020-10-26,London,133,2161
2020-10-26,Midlands,38,2707
2020-10-26,North East and Yorkshire,97,4438
2020-10-26,North West,63,4658
2020-10-26,South East,119,1139
2020-10-26,South West,21,312
2020-10-27,East of England,18,551
2020-10-27,London,115,1680
2020-10-27,Midlands,51,3116
2020-10-27,North East and Yorkshire,75,4147
2020-10-27,North West,37,4137
2020-10-27,South East,117,958
2020-10-27,South West,38,489
2020-10-28,East of England,20,574
2020-10-28,London,94,1602
2020-10-28,Midlands,44,2748
2020-10-28,North East and Yorkshire,85,3959
2020-10-28,North West,41,3257
2020-10-28,South East,123,880
2020-10-28,South West,16,222
2020-10-29,East of England,14,415
2020-10-29,London,54,949
