contrast,SE,t.ratio,p.value,delta_r,delta_r.lower.CL,delta_r.upper.CL,M1,M1.LCL,M1.UCL,M2,M2.LCL,M2.UCL
B.1.177 - minority variants,4.16387164181073e-07,47046.73559592,1.08e-13,0.0195896568187619,0.0195886718738196,0.0195906417637042,1.11376159720535,1.1137555637555,1.11376763068788,1.07306899708287,1.07306519219964,1.07307280197959
(VOC 202012/01) - minority variants,1.01752081288105e-06,113549.88242969,1.08e-13,0.115539368672405,0.115536961773095,0.115541775571715,1.88790269494022,1.88787770315132,1.88792768705996,1.51579753656153,1.51578440247907,1.5158106707578
(VOC 202012/01) - B.1.177,9.92716472148801e-07,96653.6917091278,1.08e-13,0.0959497118536431,0.0959473636278751,0.0959520600794111,1.69506894444677,1.69504705236299,1.6950908368133,1.41258161467922,1.41256967331173,1.41259355614767
