contrast,diff_logistic_growth_rate,SE,z.ratio,p.value
South East - London,0.0245147349074752,0.0070000007645267,3.50210460428897,1.37e-02
South East - East of England,0.0181368001335291,0.0074381594842703,2.43834515405102,2.63e-01
South East - South West,0.00751229963692035,0.00872749210526875,0.86076269635182,9.95e-01
South East - Midlands,-0.0104451366502527,0.00745090763522773,-1.40186097608677,8.98e-01
South East - North East and Yorkshire,-0.00113249578892317,0.00688420193876552,-0.164506474243005,1.00e+00
South East - Scotland,-0.00236616350418338,0.00688507079155303,-0.343665820703879,1.00e+00
South East - North West,-0.0199433798016186,0.00730990557235172,-2.72826777367009,1.38e-01
South East - Wales,-0.00653764528574395,0.00727719148999622,-0.898374777512877,9.93e-01
London - East of England,-0.00637793477394614,0.00681449472923754,-0.93593656277723,9.91e-01
London - South West,-0.0170024352705549,0.00819992780889896,-2.07348597046221,4.92e-01
London - Midlands,-0.034959871557728,0.00683297182990727,-5.11634943447475,1.10e-05
London - North East and Yorkshire,-0.0256472306963984,0.00619999505310451,-4.1366534129017,1.17e-03
London - Scotland,-0.0268808984116586,0.0062005780553734,-4.33522458254739,4.95e-04
London - North West,-0.0444581147090938,0.00666502505607726,-6.67035972633836,9.18e-10
London - Wales,-0.0310523801932192,0.00663503503771355,-4.68006273014647,9.99e-05
East of England - South West,-0.0106245004966088,0.0085790534509773,-1.23842339452943,9.48e-01
East of England - Midlands,-0.0285819367837818,0.00728016952601199,-3.92599879462405,2.79e-03
East of England - North East and Yorkshire,-0.0192692959224523,0.0066950386492133,-2.87814558392677,9.40e-02
East of England - Scotland,-0.0205029636377125,0.00669579033180489,-3.06206775028838,5.62e-02
East of England - North West,-0.0380801799351477,0.00712980311670746,-5.34098618318273,3.29e-06
East of England - Wales,-0.0246744454192731,0.0070984779395174,-3.47601917333712,1.50e-02
South West - Midlands,-0.0179574362871731,0.00859466409480999,-2.08937034526072,4.81e-01
South West - North East and Yorkshire,-0.00864479542584352,0.00810032970354353,-1.0672152544682,9.79e-01
South West - Scotland,-0.00987846314110373,0.00810077424590358,-1.21944678881764,9.52e-01
South West - North West,-0.0274556794385389,0.00846078168599989,-3.24505234356419,3.22e-02
South West - Wales,-0.0140499449226643,0.00843710953920424,-1.66525572026524,7.68e-01
Midlands - North East and Yorkshire,0.00931264086132954,0.00671481675407703,1.38687937473129,9.03e-01
Midlands - Scotland,0.00807897314606934,0.00671588835451312,1.20296418278607,9.56e-01
Midlands - North West,-0.00949824315136586,0.00715352692712039,-1.32777065748592,9.23e-01
Midlands - Wales,0.00390749136450876,0.00711734467082482,0.549009714328747,1.00e+00
North East and Yorkshire - Scotland,-0.0012336677152602,0.00606751043118213,-0.203323542538986,1.00e+00
North East and Yorkshire - North West,-0.0188108840126954,0.00654052116565373,-2.87605276953725,9.45e-02
North East and Yorkshire - Wales,-0.00540514949682078,0.00651145668787415,-0.830098356775747,9.96e-01
Scotland - North West,-0.0175772162974352,0.00654066552969691,-2.68737427676564,1.52e-01
Scotland - Wales,-0.00417148178156058,0.00651199858221304,-0.640583951132086,9.99e-01
North West - Wales,0.0134057345158746,0.00695471960257975,1.92757368836293,5.94e-01
