COUNTRY,logistic_growth_rate,asymp.LCL,asymp.UCL,M1,M1.LCL,M1.UCL,M2,M2.LCL,M2.UCL
DENMARK,0.0839064375478066,0.066449125766965,0.101363749328648,1.58642872725054,1.44119148516551,1.74630237033127,1.35264667769692,1.2702539647986,1.44038364404917
UK,0.109317478464366,0.101319027465648,0.117315929463085,1.82439081544366,1.74587288472927,1.90643996856123,1.48222290303737,1.44015176281197,1.52552306709594
