contrast,SE,t.ratio,p.value,delta_r,delta_r.lower.CL,delta_r.upper.CL,M1,M1.LCL,M1.UCL,M2,M2.LCL,M2.UCL
B.1.177 - minority variants,3.65477209919841e-07,53699.9038435837,4.35e-10,0.0196260910297168,0.0196252200604987,0.0196269619989349,1.11398480420604,1.11397946786322,1.11399014057443,1.07320975343364,1.07320638840134,1.0732131184765
(VOC 202012/01) - minority variants,7.50008048440132e-07,139636.515645116,4.35e-10,0.104728510589974,0.10472672324481,0.104730297935137,1.77892065758866,1.77890317017583,1.7789381451734,1.4579373139632,1.45792793297944,1.45794669500733
(VOC 202012/01) - B.1.177,7.2526706173889e-07,117339.42439936,4.35e-10,0.0851024195602568,0.0851006911753711,0.0851041479451424,1.59689849526855,1.59688331503698,1.59691367564443,1.35848310108872,1.35847464838105,1.358491553849
