contrast,delta_r,2.5 %,97.5 %,M1,M1.LCL,M1.UCL,M2,M2.LCL,M2.UCL
VOC 202012/01 - B.1.177,0.0930686263755233,0.0911703173055725,0.094966935445474,1.66842062442901,1.65109176553078,1.68593135653197,1.39800616678769,1.38848488561459,1.40759273840516
B.1.177 - minority variants,0.0304025986695031,0.0299758644608314,0.0308293328781749,1.18200753373547,1.17923657001372,1.18478500865281,1.11566356695752,1.11395095227683,1.11737881465275
VOC 202012/01 - minority variants,0.123466386709359,0.121525457673671,0.125407315745047,1.97203326934251,1.95109356354922,1.99319770617224,1.55967737995666,1.54881736227703,1.5706135460492
