contrast,SE,t.ratio,p.value,delta_r,delta_r.lower.CL,delta_r.upper.CL,M1,M1.LCL,M1.UCL,M2,M2.LCL,M2.UCL
(VOC 202012/01) - minority variants,0.00187157336280683,59.8854012255217,< 1e-16,0.112079921754686,0.107868191552455,0.116291651956917,1.85232122656132,1.80990625937951,1.89573018413998,1.49703684593387,1.47450964372695,1.51990821329524
(VOC 202012/01) - B.1.177,0.00180735501550488,57.6803347595944,< 1e-16,0.104248842323753,0.100181627083235,0.108316057564271,1.77423373793365,1.73498531425697,1.81437003008303,1.45542191184455,1.4342669142097,1.47688893921425
B.1.177 - minority variants,0.00089688436539091,62.2159953301602,< 1e-16,0.0558005534888546,0.054033893630249,0.0575672133474602,1.35920917845458,1.34606620294724,1.3724804818293,1.22248050151642,1.21473022738973,1.23028022427598
B.1.177 - minority variants,0.00089688436539091,62.2159953301602,< 1e-16,0.0558005534888546,0.054033893630249,0.0575672133474602,1.35920917845458,1.34606620294724,1.3724804818293,1.22248050151642,1.21473022738973,1.23028022427598
