YEAR,WEEK,COUNTRY,REGION,B117,TOTAL
2020,39,DENMARK,Hovedstaden,0,305
2020,40,DENMARK,Hovedstaden,0,116
2020,41,DENMARK,Hovedstaden,0,176
2020,42,DENMARK,Hovedstaden,0,444
2020,43,DENMARK,Hovedstaden,0,153
2020,44,DENMARK,Hovedstaden,0,549
2020,45,DENMARK,Hovedstaden,0,656
2020,46,DENMARK,Hovedstaden,4,420
2020,47,DENMARK,Hovedstaden,0,588
2020,48,DENMARK,Hovedstaden,3,688
2020,49,DENMARK,Hovedstaden,0,863
2020,50,DENMARK,Hovedstaden,2,1046
2020,51,DENMARK,Hovedstaden,4,1063
2020,52,DENMARK,Hovedstaden,13,1214
2020,53,DENMARK,Hovedstaden,11,1025
2021,1,DENMARK,Hovedstaden,13,548
2020,39,DENMARK,Midtjylland,0,99
2020,40,DENMARK,Midtjylland,0,82
2020,41,DENMARK,Midtjylland,0,110
2020,42,DENMARK,Midtjylland,0,208
2020,43,DENMARK,Midtjylland,0,64
2020,44,DENMARK,Midtjylland,0,206
2020,45,DENMARK,Midtjylland,0,293
2020,46,DENMARK,Midtjylland,0,357
2020,47,DENMARK,Midtjylland,0,318
2020,48,DENMARK,Midtjylland,0,317
2020,49,DENMARK,Midtjylland,0,332
2020,50,DENMARK,Midtjylland,0,363
2020,51,DENMARK,Midtjylland,0,564
2020,52,DENMARK,Midtjylland,6,311
2020,53,DENMARK,Midtjylland,13,304
2021,1,DENMARK,Midtjylland,7,138
2020,39,DENMARK,Nordjylland,0,107
2020,40,DENMARK,Nordjylland,0,56
2020,41,DENMARK,Nordjylland,0,50
2020,42,DENMARK,Nordjylland,0,182
2020,43,DENMARK,Nordjylland,0,128
2020,44,DENMARK,Nordjylland,0,287
2020,45,DENMARK,Nordjylland,0,246
2020,46,DENMARK,Nordjylland,0,318
2020,47,DENMARK,Nordjylland,0,244
2020,48,DENMARK,Nordjylland,0,169
2020,49,DENMARK,Nordjylland,3,64
2020,50,DENMARK,Nordjylland,7,97
2020,51,DENMARK,Nordjylland,9,293
2020,52,DENMARK,Nordjylland,18,348
2020,53,DENMARK,Nordjylland,7,203
2021,1,DENMARK,Nordjylland,1,93
2020,39,DENMARK,Sjælland,0,110
2020,40,DENMARK,Sjælland,0,66
2020,41,DENMARK,Sjælland,0,26
2020,42,DENMARK,Sjælland,0,93
2020,43,DENMARK,Sjælland,0,37
2020,44,DENMARK,Sjælland,0,131
2020,45,DENMARK,Sjælland,0,186
2020,46,DENMARK,Sjælland,0,136
2020,47,DENMARK,Sjælland,0,144
2020,48,DENMARK,Sjælland,0,165
2020,49,DENMARK,Sjælland,0,262
2020,50,DENMARK,Sjælland,0,222
2020,51,DENMARK,Sjælland,3,372
2020,52,DENMARK,Sjælland,11,304
2020,53,DENMARK,Sjælland,3,324
2021,1,DENMARK,Sjælland,6,231
2020,39,DENMARK,Syddanmark,0,215
2020,40,DENMARK,Syddanmark,0,89
2020,41,DENMARK,Syddanmark,0,48
2020,42,DENMARK,Syddanmark,0,156
2020,43,DENMARK,Syddanmark,0,44
2020,44,DENMARK,Syddanmark,0,176
2020,45,DENMARK,Syddanmark,0,201
2020,46,DENMARK,Syddanmark,0,174
2020,47,DENMARK,Syddanmark,0,262
2020,48,DENMARK,Syddanmark,0,196
2020,49,DENMARK,Syddanmark,0,227
2020,50,DENMARK,Syddanmark,1,530
2020,51,DENMARK,Syddanmark,7,470
2020,52,DENMARK,Syddanmark,7,522
2020,53,DENMARK,Syddanmark,18,310
2021,1,DENMARK,Syddanmark,15,166
